Weight W,Implementation,PreDec / validator,Validate / validator,DecPrecomp,DecOpen,DecTotal,Cached DecTotal
764,BLST original,0.042,0.165,96.135,22.783,131.142,34.767
764,BLST swapped,0.092,0.130,38.254,25.725,77.118,38.662
764,BLS AVX swapped / 2,0.079,0.123,8.074,14.142,34.164,26.456
764,BN254 swapped / 2,0.045,0.131,7.069,10.596,28.063,21.025
764,BN254 original / 2,0.026,0.103,12.071,10.436,30.139,18.117
764,WPFE (unchanged),0.039,0.166,88.700,18.245,119.049,30.348
"1,580",BLST original,0.041,0.146,169.527,26.671,210.429,40.729
"1,580",BLST swapped,0.093,0.113,67.350,29.725,112.750,45.323
"1,580",BLS AVX swapped / 2,0.080,0.122,15.500,17.597,48.412,33.128
"1,580",BN254 swapped / 2,0.045,0.131,12.388,13.198,38.943,26.578
"1,580",BN254 original / 2,0.026,0.102,23.437,13.541,46.734,22.912
"1,580",WPFE (unchanged),0.042,0.146,161.556,22.221,198.055,36.498
"3,063",BLST original,0.042,0.143,283.551,27.207,325.412,41.899
"3,063",BLST swapped,0.093,0.112,109.171,30.528,155.875,46.573
"3,063",BLS AVX swapped / 2,0.082,0.121,26.235,18.757,61.037,34.446
"3,063",BN254 swapped / 2,0.046,0.130,20.662,13.649,48.215,27.639
"3,063",BN254 original / 2,0.027,0.102,41.495,13.384,65.063,23.720
"3,063",WPFE (unchanged),0.041,0.144,275.744,22.822,313.134,37.389
"6,489",BLST original,0.043,0.142,514.297,27.136,556.063,41.781
"6,489",BLST swapped,0.096,0.112,193.503,30.435,240.358,46.603
"6,489",BLS AVX swapped / 2,0.082,0.120,48.841,18.594,83.456,34.501
"6,489",BN254 swapped / 2,0.046,0.129,44.278,13.690,71.764,27.573
"6,489",BN254 original / 2,0.027,0.100,82.686,13.826,106.571,23.699
"6,489",WPFE (unchanged),0.042,0.143,508.991,22.813,546.401,37.410
