Messages M,Implementation,PreDec / validator,Validate / validator,DecPrecomp,DecOpen,DecTotal,Cached DecTotal
16,BLST original,0.041,0.146,169.527,26.671,210.429,40.729
16,BLST swapped,0.093,0.113,67.350,29.725,112.750,45.323
16,BLS AVX swapped / 2,0.080,0.122,15.500,17.597,48.412,33.128
16,BN254 swapped / 2,0.045,0.131,12.388,13.198,38.943,26.578
16,BN254 original / 2,0.026,0.102,23.437,13.541,46.734,22.912
16,WPFE (unchanged),0.042,0.146,161.556,22.221,198.055,36.498
32,BLST original,0.065,0.221,307.425,49.485,378.675,70.671
32,BLST swapped,0.189,0.156,118.768,57.687,202.632,83.215
32,BLS AVX swapped / 2,0.159,0.226,15.609,27.280,72.166,56.710
32,BN254 swapped / 2,0.090,0.250,12.481,20.455,58.842,46.500
32,BN254 original / 2,0.051,0.182,23.718,20.534,61.970,37.938
32,WPFE (unchanged),0.065,0.221,286.099,38.506,346.346,60.246
64,BLST original,0.104,0.412,609.870,109.001,758.107,147.526
64,BLST swapped,0.304,0.252,233.961,128.389,404.654,170.057
64,BLS AVX swapped / 2,0.319,0.366,15.599,53.978,121.659,106.730
64,BN254 swapped / 2,0.174,0.393,12.563,40.364,96.014,83.638
64,BN254 original / 2,0.103,0.307,23.748,40.309,95.210,71.387
64,WPFE (unchanged),0.106,0.416,575.426,84.604,699.722,124.296
128,BLST original,0.174,0.781,"1,117.570",118.108,"1,308.283",192.182
128,BLST swapped,0.511,0.438,420.180,124.354,616.604,196.922
128,BLS AVX swapped / 2,0.625,0.822,15.674,110.781,236.464,221.610
128,BN254 swapped / 2,0.348,0.802,12.478,81.970,181.872,170.704
128,BN254 original / 2,0.204,0.746,23.909,83.949,180.038,155.200
128,WPFE (unchanged),0.174,0.765,"1,105.992",174.221,"1,351.553",245.561
256,BLST original,0.295,1.502,"2,228.659",239.283,"2,604.530",376.998
256,BLST swapped,0.874,0.821,836.282,251.959,"1,217.097",379.788
256,BLS AVX swapped / 2,1.256,1.726,15.583,227.486,469.708,453.344
256,BN254 swapped / 2,0.697,1.813,12.468,174.481,377.696,376.665
256,BN254 original / 2,0.401,1.400,23.844,185.011,345.771,311.572
256,WPFE (unchanged),0.296,1.507,"2,198.399",234.316,"2,569.742",371.343
