Weight W,Implementation,Enc ms/item,Core dk KiB,Verify keys KiB,Total key KiB,Share bytes / validator
764,BLST original,0.069,"2,220.4",351.0,"2,571.4",48
764,BLST swapped,0.083,"1,110.2",175.5,"1,285.7",96
764,BLS AVX swapped / 2,0.069,"1,110.2",175.5,"1,285.7",768
764,BN254 swapped / 2,0.047,740.1,117.0,857.1,512
764,BN254 original / 2,0.044,"1,480.2",234.0,"1,714.2",256
764,WPFE (unchanged),0.068,"2,292.1",351.0,"2,643.1",48
"1,580",BLST original,0.069,"4,591.9",628.5,"5,220.4",48
"1,580",BLST swapped,0.083,"2,295.9",314.2,"2,610.2",96
"1,580",BLS AVX swapped / 2,0.068,"2,295.9",314.2,"2,610.2",768
"1,580",BN254 swapped / 2,0.048,"1,530.6",209.5,"1,740.1",512
"1,580",BN254 original / 2,0.044,"3,061.2",419.0,"3,480.2",256
"1,580",WPFE (unchanged),0.083,"4,740.1",628.5,"5,368.6",48
"3,063",BLST original,0.069,"8,901.8",897.0,"9,798.8",48
"3,063",BLST swapped,0.083,"4,450.9",448.5,"4,899.4",96
"3,063",BLS AVX swapped / 2,0.069,"4,450.9",448.5,"4,899.4",768
"3,063",BN254 swapped / 2,0.048,"2,967.3",299.0,"3,266.3",512
"3,063",BN254 original / 2,0.044,"5,934.6",598.0,"6,532.6",256
"3,063",WPFE (unchanged),0.079,"9,189.1",897.0,"10,086.1",48
"6,489",BLST original,0.070,"18,858.7","1,032.0","19,890.7",48
"6,489",BLST swapped,0.083,"9,429.3",516.0,"9,945.3",96
"6,489",BLS AVX swapped / 2,0.068,"9,429.3",516.0,"9,945.3",768
"6,489",BN254 swapped / 2,0.047,"6,286.2",344.0,"6,630.2",512
"6,489",BN254 original / 2,0.043,"12,572.4",688.0,"13,260.4",256
"6,489",WPFE (unchanged),0.093,"19,467.1","1,032.0","20,499.1",48
