Messages M,Implementation,Enc ms/item,Core dk KiB,Verify keys KiB,Total key KiB,Share bytes / validator
16,BLST original,0.069,"4,591.9",628.5,"5,220.4",48
16,BLST swapped,0.083,"2,295.9",314.2,"2,610.2",96
16,BLS AVX swapped / 2,0.068,"2,295.9",314.2,"2,610.2",768
16,BN254 swapped / 2,0.048,"1,530.6",209.5,"1,740.1",512
16,BN254 original / 2,0.044,"3,061.2",419.0,"3,480.2",256
16,WPFE (unchanged),0.083,"4,740.1",628.5,"5,368.6",48
32,BLST original,0.053,"9,331.9","1,257.0","10,588.9",48
32,BLST swapped,0.064,"4,665.9",628.5,"5,294.4",96
32,BLS AVX swapped / 2,0.052,"4,665.9",628.5,"5,294.4","1,536"
32,BN254 swapped / 2,0.036,"3,110.6",419.0,"3,529.6","1,024"
32,BN254 original / 2,0.033,"6,221.2",838.0,"7,059.2",512
32,WPFE (unchanged),0.052,"9,480.1","1,257.0","10,737.1",48
64,BLST original,0.056,"18,811.9","2,514.0","21,325.9",48
64,BLST swapped,0.067,"9,405.9","1,257.0","10,662.9",96
64,BLS AVX swapped / 2,0.051,"9,405.9","1,257.0","10,662.9","3,072"
64,BN254 swapped / 2,0.035,"6,270.6",838.0,"7,108.6","2,048"
64,BN254 original / 2,0.033,"12,541.2","1,676.0","14,217.2","1,024"
64,WPFE (unchanged),0.050,"18,960.1","2,514.0","21,474.1",48
128,BLST original,0.050,"37,771.9","5,028.0","42,799.9",48
128,BLST swapped,0.061,"18,885.9","2,514.0","21,399.9",96
128,BLS AVX swapped / 2,0.051,"18,885.9","2,514.0","21,399.9","6,144"
128,BN254 swapped / 2,0.035,"12,590.6","1,676.0","14,266.6","4,096"
128,BN254 original / 2,0.032,"25,181.2","3,352.0","28,533.2","2,048"
128,WPFE (unchanged),0.050,"37,920.1","5,028.0","42,948.1",48
256,BLST original,0.049,"75,691.9","10,056.0","85,747.9",48
256,BLST swapped,0.059,"37,845.9","5,028.0","42,873.9",96
256,BLS AVX swapped / 2,0.051,"37,845.9","5,028.0","42,873.9","12,288"
256,BN254 swapped / 2,0.035,"25,230.6","3,352.0","28,582.6","8,192"
256,BN254 original / 2,0.032,"50,461.2","6,704.0","57,165.2","4,096"
256,WPFE (unchanged),0.047,"75,840.1","10,056.0","85,896.1",48
