curve,simd,orientation,layout,cache,threads,sample,phase,milliseconds,avx_msm,avx_each
bls12_381,avx512,normal,1x16,cold,12,0,encryption,0.982640,0,0
bls12_381,avx512,normal,1x16,cold,12,0,validation,0.936326,0,0
bls12_381,avx512,normal,1x16,cold,12,0,share_generation,1.155617,0,0
bls12_381,avx512,normal,1x16,cold,12,0,acceptance,7.467109,0,0
bls12_381,avx512,normal,1x16,cold,12,0,preparation,105.977071,0,0
bls12_381,avx512,normal,1x16,cold,12,0,precompute,4.124627,0,0
bls12_381,avx512,normal,1x16,cold,12,0,opening,8.428179,0,0
bls12_381,avx512,normal,1x16,cold,12,0,combiner,125.997256,0,0
bls12_381,avx512,normal,1x16,cold,12,0,end_to_end,129.072610,0,0
bls12_381,avx512,normal,1x16,cold,12,1,encryption,0.987997,0,0
bls12_381,avx512,normal,1x16,cold,12,1,validation,0.936627,0,0
bls12_381,avx512,normal,1x16,cold,12,1,share_generation,1.216822,0,0
bls12_381,avx512,normal,1x16,cold,12,1,acceptance,7.492483,0,0
bls12_381,avx512,normal,1x16,cold,12,1,preparation,106.048980,0,0
bls12_381,avx512,normal,1x16,cold,12,1,precompute,3.957276,0,0
bls12_381,avx512,normal,1x16,cold,12,1,opening,8.423232,0,0
bls12_381,avx512,normal,1x16,cold,12,1,combiner,125.922342,0,0
bls12_381,avx512,normal,1x16,cold,12,1,end_to_end,129.064228,0,0
bls12_381,avx512,normal,1x16,cold,12,2,encryption,0.982750,0,0
bls12_381,avx512,normal,1x16,cold,12,2,validation,0.935956,0,0
bls12_381,avx512,normal,1x16,cold,12,2,share_generation,1.173742,0,0
bls12_381,avx512,normal,1x16,cold,12,2,acceptance,7.466758,0,0
bls12_381,avx512,normal,1x16,cold,12,2,preparation,105.254268,0,0
bls12_381,avx512,normal,1x16,cold,12,2,precompute,3.989000,0,0
bls12_381,avx512,normal,1x16,cold,12,2,opening,8.423352,0,0
bls12_381,avx512,normal,1x16,cold,12,2,combiner,125.133749,0,0
bls12_381,avx512,normal,1x16,cold,12,2,end_to_end,128.226668,0,0
bls12_381,avx512,normal,1x16,cold,12,3,encryption,0.986505,0,0
bls12_381,avx512,normal,1x16,cold,12,3,validation,0.946581,0,0
bls12_381,avx512,normal,1x16,cold,12,3,share_generation,1.156779,0,0
bls12_381,avx512,normal,1x16,cold,12,3,acceptance,7.468400,0,0
bls12_381,avx512,normal,1x16,cold,12,3,preparation,105.289898,0,0
bls12_381,avx512,normal,1x16,cold,12,3,precompute,3.974139,0,0
bls12_381,avx512,normal,1x16,cold,12,3,opening,8.411696,0,0
bls12_381,avx512,normal,1x16,cold,12,3,combiner,125.144634,0,0
bls12_381,avx512,normal,1x16,cold,12,3,end_to_end,128.234909,0,0
bls12_381,avx512,normal,1x16,cold,12,4,encryption,0.980988,0,0
bls12_381,avx512,normal,1x16,cold,12,4,validation,0.932862,0,0
bls12_381,avx512,normal,1x16,cold,12,4,share_generation,1.156248,0,0
bls12_381,avx512,normal,1x16,cold,12,4,acceptance,7.455332,0,0
bls12_381,avx512,normal,1x16,cold,12,4,preparation,105.895189,0,0
bls12_381,avx512,normal,1x16,cold,12,4,precompute,3.969784,0,0
bls12_381,avx512,normal,1x16,cold,12,4,opening,8.432915,0,0
bls12_381,avx512,normal,1x16,cold,12,4,combiner,125.753520,0,0
bls12_381,avx512,normal,1x16,cold,12,4,end_to_end,128.824139,0,0
bls12_381,avx512,normal,1x16,cold,12,5,encryption,0.990541,0,0
bls12_381,avx512,normal,1x16,cold,12,5,validation,0.927865,0,0
bls12_381,avx512,normal,1x16,cold,12,5,share_generation,1.171499,0,0
bls12_381,avx512,normal,1x16,cold,12,5,acceptance,7.453340,0,0
bls12_381,avx512,normal,1x16,cold,12,5,preparation,105.464788,0,0
bls12_381,avx512,normal,1x16,cold,12,5,precompute,4.008066,0,0
bls12_381,avx512,normal,1x16,cold,12,5,opening,8.429451,0,0
bls12_381,avx512,normal,1x16,cold,12,5,combiner,125.355955,0,0
bls12_381,avx512,normal,1x16,cold,12,5,end_to_end,128.446330,0,0
bls12_381,avx512,normal,1x16,cold,12,6,encryption,0.991311,0,0
bls12_381,avx512,normal,1x16,cold,12,6,validation,0.934193,0,0
bls12_381,avx512,normal,1x16,cold,12,6,share_generation,1.166823,0,0
bls12_381,avx512,normal,1x16,cold,12,6,acceptance,7.457214,0,0
bls12_381,avx512,normal,1x16,cold,12,6,preparation,105.394060,0,0
bls12_381,avx512,normal,1x16,cold,12,6,precompute,4.051056,0,0
bls12_381,avx512,normal,1x16,cold,12,6,opening,8.415010,0,0
bls12_381,avx512,normal,1x16,cold,12,6,combiner,125.317662,0,0
bls12_381,avx512,normal,1x16,cold,12,6,end_to_end,128.410601,0,0
bls12_381,avx512,normal,1x16,cold,12,7,encryption,0.995107,0,0
bls12_381,avx512,normal,1x16,cold,12,7,validation,0.940242,0,0
bls12_381,avx512,normal,1x16,cold,12,7,share_generation,1.157360,0,0
bls12_381,avx512,normal,1x16,cold,12,7,acceptance,7.425101,0,0
bls12_381,avx512,normal,1x16,cold,12,7,preparation,105.307582,0,0
bls12_381,avx512,normal,1x16,cold,12,7,precompute,3.974450,0,0
bls12_381,avx512,normal,1x16,cold,12,7,opening,8.425455,0,0
bls12_381,avx512,normal,1x16,cold,12,7,combiner,125.133099,0,0
bls12_381,avx512,normal,1x16,cold,12,7,end_to_end,128.226198,0,0
bls12_381,avx512,normal,1x16,cold,12,8,encryption,0.986966,0,0
bls12_381,avx512,normal,1x16,cold,12,8,validation,0.954692,0,0
bls12_381,avx512,normal,1x16,cold,12,8,share_generation,1.164700,0,0
