curve,simd,orientation,layout,cache,threads,sample,phase,milliseconds,avx_msm,avx_each
bls12_381,avx512,swapped,1x16,cold,12,0,encryption,1.095515,0,0
bls12_381,avx512,swapped,1x16,cold,12,0,validation,1.059766,0,0
bls12_381,avx512,swapped,1x16,cold,12,0,share_generation,2.898302,0,0
bls12_381,avx512,swapped,1x16,cold,12,0,acceptance,6.461797,0,0
bls12_381,avx512,swapped,1x16,cold,12,0,preparation,39.695233,15,1
bls12_381,avx512,swapped,1x16,cold,12,0,precompute,4.873325,0,0
bls12_381,avx512,swapped,1x16,cold,12,0,opening,8.476686,0,0
bls12_381,avx512,swapped,1x16,cold,12,0,combiner,59.507371,15,1
bls12_381,avx512,swapped,1x16,cold,12,0,end_to_end,64.561634,15,1
bls12_381,avx512,swapped,1x16,cold,12,1,encryption,1.077821,0,0
bls12_381,avx512,swapped,1x16,cold,12,1,validation,1.045757,0,0
bls12_381,avx512,swapped,1x16,cold,12,1,share_generation,2.895968,0,0
bls12_381,avx512,swapped,1x16,cold,12,1,acceptance,6.400032,0,0
bls12_381,avx512,swapped,1x16,cold,12,1,preparation,39.661677,15,1
bls12_381,avx512,swapped,1x16,cold,12,1,precompute,4.977378,0,0
bls12_381,avx512,swapped,1x16,cold,12,1,opening,8.431783,0,0
bls12_381,avx512,swapped,1x16,cold,12,1,combiner,59.471210,15,1
bls12_381,avx512,swapped,1x16,cold,12,1,end_to_end,64.491197,15,1
bls12_381,avx512,swapped,1x16,cold,12,2,encryption,1.088796,0,0
bls12_381,avx512,swapped,1x16,cold,12,2,validation,1.032979,0,0
bls12_381,avx512,swapped,1x16,cold,12,2,share_generation,2.873368,0,0
bls12_381,avx512,swapped,1x16,cold,12,2,acceptance,6.386905,0,0
bls12_381,avx512,swapped,1x16,cold,12,2,preparation,39.657430,15,1
bls12_381,avx512,swapped,1x16,cold,12,2,precompute,4.863451,0,0
bls12_381,avx512,swapped,1x16,cold,12,2,opening,8.452052,0,0
bls12_381,avx512,swapped,1x16,cold,12,2,combiner,59.360319,15,1
bls12_381,avx512,swapped,1x16,cold,12,2,end_to_end,64.355942,15,1
bls12_381,avx512,swapped,1x16,cold,12,3,encryption,1.087494,0,0
bls12_381,avx512,swapped,1x16,cold,12,3,validation,1.045477,0,0
bls12_381,avx512,swapped,1x16,cold,12,3,share_generation,2.892163,0,0
bls12_381,avx512,swapped,1x16,cold,12,3,acceptance,6.434320,0,0
bls12_381,avx512,swapped,1x16,cold,12,3,preparation,39.575418,15,1
bls12_381,avx512,swapped,1x16,cold,12,3,precompute,5.080410,0,0
bls12_381,avx512,swapped,1x16,cold,12,3,opening,8.440976,0,0
bls12_381,avx512,swapped,1x16,cold,12,3,combiner,59.531394,15,1
bls12_381,avx512,swapped,1x16,cold,12,3,end_to_end,64.557108,15,1
bls12_381,avx512,swapped,1x16,cold,12,4,encryption,1.090538,0,0
bls12_381,avx512,swapped,1x16,cold,12,4,validation,1.050714,0,0
bls12_381,avx512,swapped,1x16,cold,12,4,share_generation,2.893775,0,0
bls12_381,avx512,swapped,1x16,cold,12,4,acceptance,6.435851,0,0
bls12_381,avx512,swapped,1x16,cold,12,4,preparation,39.569420,15,1
bls12_381,avx512,swapped,1x16,cold,12,4,precompute,4.988123,0,0
bls12_381,avx512,swapped,1x16,cold,12,4,opening,8.446574,0,0
bls12_381,avx512,swapped,1x16,cold,12,4,combiner,59.440338,15,1
bls12_381,avx512,swapped,1x16,cold,12,4,end_to_end,64.475976,15,1
bls12_381,avx512,swapped,1x16,cold,12,5,encryption,1.094814,0,0
bls12_381,avx512,swapped,1x16,cold,12,5,validation,1.068678,0,0
bls12_381,avx512,swapped,1x16,cold,12,5,share_generation,2.886035,0,0
bls12_381,avx512,swapped,1x16,cold,12,5,acceptance,6.430093,0,0
bls12_381,avx512,swapped,1x16,cold,12,5,preparation,39.493686,15,1
bls12_381,avx512,swapped,1x16,cold,12,5,precompute,5.017222,0,0
bls12_381,avx512,swapped,1x16,cold,12,5,opening,8.438313,0,0
bls12_381,avx512,swapped,1x16,cold,12,5,combiner,59.379685,15,1
bls12_381,avx512,swapped,1x16,cold,12,5,end_to_end,64.429763,15,1
bls12_381,avx512,swapped,1x16,cold,12,6,encryption,1.110456,0,0
bls12_381,avx512,swapped,1x16,cold,12,6,validation,1.050203,0,0
bls12_381,avx512,swapped,1x16,cold,12,6,share_generation,2.881789,0,0
bls12_381,avx512,swapped,1x16,cold,12,6,acceptance,6.419549,0,0
bls12_381,avx512,swapped,1x16,cold,12,6,preparation,39.476022,15,1
bls12_381,avx512,swapped,1x16,cold,12,6,precompute,5.007339,0,0
bls12_381,avx512,swapped,1x16,cold,12,6,opening,8.439845,0,0
bls12_381,avx512,swapped,1x16,cold,12,6,combiner,59.343085,15,1
bls12_381,avx512,swapped,1x16,cold,12,6,end_to_end,64.386183,15,1
bls12_381,avx512,swapped,1x16,cold,12,7,encryption,1.089166,0,0
bls12_381,avx512,swapped,1x16,cold,12,7,validation,1.033409,0,0
bls12_381,avx512,swapped,1x16,cold,12,7,share_generation,2.885424,0,0
bls12_381,avx512,swapped,1x16,cold,12,7,acceptance,6.424436,0,0
bls12_381,avx512,swapped,1x16,cold,12,7,preparation,39.520483,15,1
bls12_381,avx512,swapped,1x16,cold,12,7,precompute,5.025775,0,0
bls12_381,avx512,swapped,1x16,cold,12,7,opening,8.437421,0,0
bls12_381,avx512,swapped,1x16,cold,12,7,combiner,59.408425,15,1
bls12_381,avx512,swapped,1x16,cold,12,7,end_to_end,64.416775,15,1
bls12_381,avx512,swapped,1x16,cold,12,8,encryption,1.108944,0,0
bls12_381,avx512,swapped,1x16,cold,12,8,validation,1.052786,0,0
bls12_381,avx512,swapped,1x16,cold,12,8,share_generation,2.894757,0,0
bls12_381,avx512,swapped,1x16,cold,12,8,acceptance,6.380775,0,0
bls12_381,avx512,swapped,1x16,cold,12,8,preparation,39.506184,15,1
bls12_381,avx512,swapped,1x16,cold,12,8,precompute,5.028718,0,0
bls12_381,avx512,swapped,1x16,cold,12,8,opening,8.440886,0,0
bls12_381,avx512,swapped,1x16,cold,12,8,combiner,59.356893,15,1
bls12_381,avx512,swapped,1x16,cold,12,8,end_to_end,64.413921,15,1
bls12_381,avx512,swapped,1x16,cold,12,9,encryption,1.089827,0,0
bls12_381,avx512,swapped,1x16,cold,12,9,validation,1.041721,0,0
bls12_381,avx512,swapped,1x16,cold,12,9,share_generation,2.887516,0,0
bls12_381,avx512,swapped,1x16,cold,12,9,acceptance,6.415523,0,0
bls12_381,avx512,swapped,1x16,cold,12,9,preparation,39.492925,15,1
bls12_381,avx512,swapped,1x16,cold,12,9,precompute,5.128045,0,0
bls12_381,avx512,swapped,1x16,cold,12,9,opening,8.447445,0,0
bls12_381,avx512,swapped,1x16,cold,12,9,combiner,59.484179,15,1
bls12_381,avx512,swapped,1x16,cold,12,9,end_to_end,64.503685,15,1
bls12_381,avx512,swapped,1x16,cold,12,10,encryption,1.109634,0,0
bls12_381,avx512,swapped,1x16,cold,12,10,validation,1.042703,0,0
bls12_381,avx512,swapped,1x16,cold,12,10,share_generation,2.882780,0,0
bls12_381,avx512,swapped,1x16,cold,12,10,acceptance,6.414332,0,0
bls12_381,avx512,swapped,1x16,cold,12,10,preparation,39.517038,15,1
bls12_381,avx512,swapped,1x16,cold,12,10,precompute,5.005286,0,0
bls12_381,avx512,swapped,1x16,cold,12,10,opening,8.441677,0,0
bls12_381,avx512,swapped,1x16,cold,12,10,combiner,59.378653,15,1
bls12_381,avx512,swapped,1x16,cold,12,10,end_to_end,64.414191,15,1
bls12_381,avx512,swapped,1x16,cold,12,11,encryption,1.090608,0,0
bls12_381,avx512,swapped,1x16,cold,12,11,validation,1.039448,0,0
bls12_381,avx512,swapped,1x16,cold,12,11,share_generation,2.887968,0,0
bls12_381,avx512,swapped,1x16,cold,12,11,acceptance,6.429523,0,0
bls12_381,avx512,swapped,1x16,cold,12,11,preparation,39.508927,15,1
bls12_381,avx512,swapped,1x16,cold,12,11,precompute,4.983286,0,0
bls12_381,avx512,swapped,1x16,cold,12,11,opening,8.433756,0,0
bls12_381,avx512,swapped,1x16,cold,12,11,combiner,59.355893,15,1
bls12_381,avx512,swapped,1x16,cold,12,11,end_to_end,64.374627,15,1
bls12_381,avx512,swapped,1x16,cold,12,12,encryption,1.095735,0,0
bls12_381,avx512,swapped,1x16,cold,12,12,validation,1.047339,0,0
bls12_381,avx512,swapped,1x16,cold,12,12,share_generation,2.890060,0,0
bls12_381,avx512,swapped,1x16,cold,12,12,acceptance,6.421082,0,0
bls12_381,avx512,swapped,1x16,cold,12,12,preparation,39.574026,15,1
bls12_381,avx512,swapped,1x16,cold,12,12,precompute,4.995863,0,0
bls12_381,avx512,swapped,1x16,cold,12,12,opening,8.444231,0,0
bls12_381,avx512,swapped,1x16,cold,12,12,combiner,59.435813,15,1
bls12_381,avx512,swapped,1x16,cold,12,12,end_to_end,64.469768,15,1
bls12_381,avx512,swapped,1x16,cold,12,13,encryption,1.088836,0,0
bls12_381,avx512,swapped,1x16,cold,12,13,validation,1.047549,0,0
bls12_381,avx512,swapped,1x16,cold,12,13,share_generation,2.896219,0,0
bls12_381,avx512,swapped,1x16,cold,12,13,acceptance,6.433948,0,0
bls12_381,avx512,swapped,1x16,cold,12,13,preparation,39.615363,15,1
bls12_381,avx512,swapped,1x16,cold,12,13,precompute,5.059821,0,0
bls12_381,avx512,swapped,1x16,cold,12,13,opening,8.434708,0,0
bls12_381,avx512,swapped,1x16,cold,12,13,combiner,59.544221,15,1
bls12_381,avx512,swapped,1x16,cold,12,13,end_to_end,64.577446,15,1
bls12_381,avx512,swapped,1x16,cold,12,14,encryption,1.092721,0,0
bls12_381,avx512,swapped,1x16,cold,12,14,validation,1.048360,0,0
bls12_381,avx512,swapped,1x16,cold,12,14,share_generation,2.883582,0,0
bls12_381,avx512,swapped,1x16,cold,12,14,acceptance,6.426278,0,0
bls12_381,avx512,swapped,1x16,cold,12,14,preparation,39.564033,15,1
bls12_381,avx512,swapped,1x16,cold,12,14,precompute,4.998738,0,0
bls12_381,avx512,swapped,1x16,cold,12,14,opening,8.435739,0,0
bls12_381,avx512,swapped,1x16,cold,12,14,combiner,59.425258,15,1
bls12_381,avx512,swapped,1x16,cold,12,14,end_to_end,64.450402,15,1
bls12_381,avx512,swapped,1x16,cached,12,0,encryption,1.098749,0,0
bls12_381,avx512,swapped,1x16,cached,12,0,validation,1.066555,0,0
bls12_381,avx512,swapped,1x16,cached,12,0,share_generation,2.905371,0,0
bls12_381,avx512,swapped,1x16,cached,12,0,acceptance,6.470860,0,0
bls12_381,avx512,swapped,1x16,cached,12,0,preparation,0.000020,0,0
bls12_381,avx512,swapped,1x16,cached,12,0,precompute,5.181329,0,0
bls12_381,avx512,swapped,1x16,cached,12,0,opening,8.493287,0,0
bls12_381,avx512,swapped,1x16,cached,12,0,combiner,20.145796,0,0
bls12_381,avx512,swapped,1x16,cached,12,0,end_to_end,25.216942,0,0
bls12_381,avx512,swapped,1x16,cached,12,1,encryption,1.088065,0,0
bls12_381,avx512,swapped,1x16,cached,12,1,validation,1.054339,0,0
bls12_381,avx512,swapped,1x16,cached,12,1,share_generation,2.916947,0,0
bls12_381,avx512,swapped,1x16,cached,12,1,acceptance,6.441810,0,0
bls12_381,avx512,swapped,1x16,cached,12,1,preparation,0.000020,0,0
bls12_381,avx512,swapped,1x16,cached,12,1,precompute,4.960435,0,0
bls12_381,avx512,swapped,1x16,cached,12,1,opening,8.487570,0,0
bls12_381,avx512,swapped,1x16,cached,12,1,combiner,19.890125,0,0
