curve,simd,orientation,layout,cache,threads,sample,phase,milliseconds,avx_msm,avx_each
bls12_381,off,normal,1x16,cold,12,0,encryption,0.976071,0,0
bls12_381,off,normal,1x16,cold,12,0,validation,0.933822,0,0
bls12_381,off,normal,1x16,cold,12,0,share_generation,1.172550,0,0
bls12_381,off,normal,1x16,cold,12,0,acceptance,7.430597,0,0
bls12_381,off,normal,1x16,cold,12,0,preparation,105.547357,0,0
bls12_381,off,normal,1x16,cold,12,0,precompute,4.026872,0,0
bls12_381,off,normal,1x16,cold,12,0,opening,8.421930,0,0
bls12_381,off,normal,1x16,cold,12,0,combiner,125.427216,0,0
bls12_381,off,normal,1x16,cold,12,0,end_to_end,128.510222,0,0
bls12_381,off,normal,1x16,cold,12,1,encryption,0.978975,0,0
bls12_381,off,normal,1x16,cold,12,1,validation,0.949635,0,0
bls12_381,off,normal,1x16,cold,12,1,share_generation,1.164840,0,0
bls12_381,off,normal,1x16,cold,12,1,acceptance,7.452547,0,0
bls12_381,off,normal,1x16,cold,12,1,preparation,105.399223,0,0
bls12_381,off,normal,1x16,cold,12,1,precompute,4.000857,0,0
bls12_381,off,normal,1x16,cold,12,1,opening,8.415921,0,0
bls12_381,off,normal,1x16,cold,12,1,combiner,125.269049,0,0
bls12_381,off,normal,1x16,cold,12,1,end_to_end,128.363009,0,0
bls12_381,off,normal,1x16,cold,12,2,encryption,0.991262,0,0
bls12_381,off,normal,1x16,cold,12,2,validation,0.938549,0,0
bls12_381,off,normal,1x16,cold,12,2,share_generation,1.174894,0,0
bls12_381,off,normal,1x16,cold,12,2,acceptance,7.459327,0,0
bls12_381,off,normal,1x16,cold,12,2,preparation,105.222360,0,0
bls12_381,off,normal,1x16,cold,12,2,precompute,3.787663,0,0
bls12_381,off,normal,1x16,cold,12,2,opening,8.402824,0,0
bls12_381,off,normal,1x16,cold,12,2,combiner,124.872504,0,0
bls12_381,off,normal,1x16,cold,12,2,end_to_end,127.977680,0,0
bls12_381,off,normal,1x16,cold,12,3,encryption,0.963174,0,0
bls12_381,off,normal,1x16,cold,12,3,validation,0.932181,0,0
bls12_381,off,normal,1x16,cold,12,3,share_generation,1.161305,0,0
bls12_381,off,normal,1x16,cold,12,3,acceptance,7.379838,0,0
bls12_381,off,normal,1x16,cold,12,3,preparation,105.553615,0,0
bls12_381,off,normal,1x16,cold,12,3,precompute,3.948915,0,0
bls12_381,off,normal,1x16,cold,12,3,opening,8.415141,0,0
bls12_381,off,normal,1x16,cold,12,3,combiner,125.297919,0,0
bls12_381,off,normal,1x16,cold,12,3,end_to_end,128.355019,0,0
bls12_381,off,normal,1x16,cold,12,4,encryption,0.968551,0,0
bls12_381,off,normal,1x16,cold,12,4,validation,0.943736,0,0
bls12_381,off,normal,1x16,cold,12,4,share_generation,1.162007,0,0
bls12_381,off,normal,1x16,cold,12,4,acceptance,7.437838,0,0
bls12_381,off,normal,1x16,cold,12,4,preparation,105.224623,0,0
bls12_381,off,normal,1x16,cold,12,4,precompute,3.974460,0,0
bls12_381,off,normal,1x16,cold,12,4,opening,8.415250,0,0
bls12_381,off,normal,1x16,cold,12,4,combiner,125.052621,0,0
bls12_381,off,normal,1x16,cold,12,4,end_to_end,128.127365,0,0
bls12_381,off,normal,1x16,cold,12,5,encryption,0.996469,0,0
bls12_381,off,normal,1x16,cold,12,5,validation,0.949755,0,0
bls12_381,off,normal,1x16,cold,12,5,share_generation,1.167374,0,0
bls12_381,off,normal,1x16,cold,12,5,acceptance,7.445619,0,0
bls12_381,off,normal,1x16,cold,12,5,preparation,105.070591,0,0
bls12_381,off,normal,1x16,cold,12,5,precompute,3.966329,0,0
bls12_381,off,normal,1x16,cold,12,5,opening,8.408221,0,0
bls12_381,off,normal,1x16,cold,12,5,combiner,124.891170,0,0
bls12_381,off,normal,1x16,cold,12,5,end_to_end,128.005278,0,0
bls12_381,off,normal,1x16,cold,12,6,encryption,0.998572,0,0
bls12_381,off,normal,1x16,cold,12,6,validation,0.937378,0,0
bls12_381,off,normal,1x16,cold,12,6,share_generation,1.166813,0,0
bls12_381,off,normal,1x16,cold,12,6,acceptance,7.447021,0,0
bls12_381,off,normal,1x16,cold,12,6,preparation,105.417738,0,0
bls12_381,off,normal,1x16,cold,12,6,precompute,3.954132,0,0
bls12_381,off,normal,1x16,cold,12,6,opening,8.404406,0,0
bls12_381,off,normal,1x16,cold,12,6,combiner,125.223857,0,0
bls12_381,off,normal,1x16,cold,12,6,end_to_end,128.327090,0,0
bls12_381,off,normal,1x16,cold,12,7,encryption,0.984853,0,0
bls12_381,off,normal,1x16,cold,12,7,validation,0.923398,0,0
bls12_381,off,normal,1x16,cold,12,7,share_generation,1.158983,0,0
bls12_381,off,normal,1x16,cold,12,7,acceptance,7.438629,0,0
bls12_381,off,normal,1x16,cold,12,7,preparation,105.399683,0,0
bls12_381,off,normal,1x16,cold,12,7,precompute,3.943547,0,0
bls12_381,off,normal,1x16,cold,12,7,opening,8.426686,0,0
bls12_381,off,normal,1x16,cold,12,7,combiner,125.209076,0,0
bls12_381,off,normal,1x16,cold,12,7,end_to_end,128.276761,0,0
bls12_381,off,normal,1x16,cold,12,8,encryption,0.996118,0,0
bls12_381,off,normal,1x16,cold,12,8,validation,0.933031,0,0
bls12_381,off,normal,1x16,cold,12,8,share_generation,1.166332,0,0
bls12_381,off,normal,1x16,cold,12,8,acceptance,7.426813,0,0
bls12_381,off,normal,1x16,cold,12,8,preparation,105.182275,0,0
bls12_381,off,normal,1x16,cold,12,8,precompute,3.974370,0,0
bls12_381,off,normal,1x16,cold,12,8,opening,8.409712,0,0
bls12_381,off,normal,1x16,cold,12,8,combiner,124.993591,0,0
bls12_381,off,normal,1x16,cold,12,8,end_to_end,128.089494,0,0
bls12_381,off,normal,1x16,cold,12,9,encryption,0.969582,0,0
bls12_381,off,normal,1x16,cold,12,9,validation,0.928816,0,0
