curve,simd,orientation,layout,cache,threads,sample,phase,milliseconds,avx_msm,avx_each
bn254,off,normal,1x16,cold,12,0,encryption,0.701894,0,0
bn254,off,normal,1x16,cold,12,0,validation,0.719649,0,0
bn254,off,normal,1x16,cold,12,0,share_generation,0.719689,0,0
bn254,off,normal,1x16,cold,12,0,acceptance,5.210118,0,0
bn254,off,normal,1x16,cold,12,0,preparation,58.226800,0,0
bn254,off,normal,1x16,cold,12,0,precompute,2.695764,0,0
bn254,off,normal,1x16,cold,12,0,opening,6.314044,0,0
bn254,off,normal,1x16,cold,12,0,combiner,72.447236,0,0
bn254,off,normal,1x16,cold,12,0,end_to_end,74.588928,0,0
bn254,off,normal,1x16,cold,12,1,encryption,0.704137,0,0
bn254,off,normal,1x16,cold,12,1,validation,0.721571,0,0
bn254,off,normal,1x16,cold,12,1,share_generation,0.722462,0,0
bn254,off,normal,1x16,cold,12,1,acceptance,5.229554,0,0
bn254,off,normal,1x16,cold,12,1,preparation,58.089321,0,0
bn254,off,normal,1x16,cold,12,1,precompute,2.838550,0,0
bn254,off,normal,1x16,cold,12,1,opening,6.326271,0,0
bn254,off,normal,1x16,cold,12,1,combiner,72.484086,0,0
bn254,off,normal,1x16,cold,12,1,end_to_end,74.632778,0,0
bn254,off,normal,1x16,cold,12,2,encryption,0.700552,0,0
bn254,off,normal,1x16,cold,12,2,validation,0.717146,0,0
bn254,off,normal,1x16,cold,12,2,share_generation,0.717846,0,0
bn254,off,normal,1x16,cold,12,2,acceptance,5.244315,0,0
bn254,off,normal,1x16,cold,12,2,preparation,58.424081,0,0
bn254,off,normal,1x16,cold,12,2,precompute,2.832501,0,0
bn254,off,normal,1x16,cold,12,2,opening,6.322846,0,0
bn254,off,normal,1x16,cold,12,2,combiner,72.824194,0,0
bn254,off,normal,1x16,cold,12,2,end_to_end,74.960068,0,0
bn254,off,normal,1x16,cold,12,3,encryption,0.700002,0,0
bn254,off,normal,1x16,cold,12,3,validation,0.724425,0,0
bn254,off,normal,1x16,cold,12,3,share_generation,0.715492,0,0
bn254,off,normal,1x16,cold,12,3,acceptance,5.260086,0,0
bn254,off,normal,1x16,cold,12,3,preparation,58.097893,0,0
bn254,off,normal,1x16,cold,12,3,precompute,2.829478,0,0
bn254,off,normal,1x16,cold,12,3,opening,6.323226,0,0
bn254,off,normal,1x16,cold,12,3,combiner,72.511223,0,0
bn254,off,normal,1x16,cold,12,3,end_to_end,74.651714,0,0
bn254,off,normal,1x16,cold,12,4,encryption,0.694444,0,0
bn254,off,normal,1x16,cold,12,4,validation,0.709885,0,0
bn254,off,normal,1x16,cold,12,4,share_generation,0.728761,0,0
bn254,off,normal,1x16,cold,12,4,acceptance,5.229194,0,0
bn254,off,normal,1x16,cold,12,4,preparation,58.328149,0,0
bn254,off,normal,1x16,cold,12,4,precompute,2.911700,0,0
bn254,off,normal,1x16,cold,12,4,opening,6.330877,0,0
bn254,off,normal,1x16,cold,12,4,combiner,72.800601,0,0
bn254,off,normal,1x16,cold,12,4,end_to_end,74.934322,0,0
bn254,off,normal,1x16,cold,12,5,encryption,0.702455,0,0
bn254,off,normal,1x16,cold,12,5,validation,0.720069,0,0
bn254,off,normal,1x16,cold,12,5,share_generation,0.728221,0,0
bn254,off,normal,1x16,cold,12,5,acceptance,5.227822,0,0
bn254,off,normal,1x16,cold,12,5,preparation,58.175520,0,0
bn254,off,normal,1x16,cold,12,5,precompute,2.813866,0,0
bn254,off,normal,1x16,cold,12,5,opening,6.335894,0,0
bn254,off,normal,1x16,cold,12,5,combiner,72.553422,0,0
bn254,off,normal,1x16,cold,12,5,end_to_end,74.704667,0,0
bn254,off,normal,1x16,cold,12,6,encryption,0.713580,0,0
bn254,off,normal,1x16,cold,12,6,validation,0.721131,0,0
bn254,off,normal,1x16,cold,12,6,share_generation,0.721321,0,0
bn254,off,normal,1x16,cold,12,6,acceptance,5.249532,0,0
bn254,off,normal,1x16,cold,12,6,preparation,58.475302,0,0
bn254,off,normal,1x16,cold,12,6,precompute,2.829978,0,0
bn254,off,normal,1x16,cold,12,6,opening,6.327202,0,0
bn254,off,normal,1x16,cold,12,6,combiner,72.882594,0,0
bn254,off,normal,1x16,cold,12,6,end_to_end,75.039026,0,0
bn254,off,normal,1x16,cold,12,7,encryption,0.713870,0,0
bn254,off,normal,1x16,cold,12,7,validation,0.738755,0,0
bn254,off,normal,1x16,cold,12,7,share_generation,0.719419,0,0
bn254,off,normal,1x16,cold,12,7,acceptance,5.228522,0,0
bn254,off,normal,1x16,cold,12,7,preparation,58.378208,0,0
bn254,off,normal,1x16,cold,12,7,precompute,2.700781,0,0
bn254,off,normal,1x16,cold,12,7,opening,6.336825,0,0
bn254,off,normal,1x16,cold,12,7,combiner,72.645007,0,0
bn254,off,normal,1x16,cold,12,7,end_to_end,74.817391,0,0
bn254,off,normal,1x16,cold,12,8,encryption,0.727940,0,0
bn254,off,normal,1x16,cold,12,8,validation,0.728190,0,0
bn254,off,normal,1x16,cold,12,8,share_generation,0.726748,0,0
bn254,off,normal,1x16,cold,12,8,acceptance,5.242131,0,0
bn254,off,normal,1x16,cold,12,8,preparation,58.464327,0,0
bn254,off,normal,1x16,cold,12,8,precompute,2.819944,0,0
bn254,off,normal,1x16,cold,12,8,opening,6.331578,0,0
bn254,off,normal,1x16,cold,12,8,combiner,72.858340,0,0
bn254,off,normal,1x16,cold,12,8,end_to_end,75.041740,0,0
bn254,off,normal,1x16,cold,12,9,encryption,0.716544,0,0
bn254,off,normal,1x16,cold,12,9,validation,0.740648,0,0
bn254,off,normal,1x16,cold,12,9,share_generation,0.723914,0,0
bn254,off,normal,1x16,cold,12,9,acceptance,5.229004,0,0
bn254,off,normal,1x16,cold,12,9,preparation,58.118080,0,0
bn254,off,normal,1x16,cold,12,9,precompute,2.872676,0,0
bn254,off,normal,1x16,cold,12,9,opening,6.329926,0,0
bn254,off,normal,1x16,cold,12,9,combiner,72.550147,0,0
bn254,off,normal,1x16,cold,12,9,end_to_end,74.731513,0,0
bn254,off,normal,1x16,cold,12,10,encryption,0.712609,0,0
bn254,off,normal,1x16,cold,12,10,validation,0.715593,0,0
bn254,off,normal,1x16,cold,12,10,share_generation,0.721501,0,0
bn254,off,normal,1x16,cold,12,10,acceptance,5.233540,0,0
bn254,off,normal,1x16,cold,12,10,preparation,58.171585,0,0
bn254,off,normal,1x16,cold,12,10,precompute,2.711525,0,0
bn254,off,normal,1x16,cold,12,10,opening,6.348261,0,0
bn254,off,normal,1x16,cold,12,10,combiner,72.465541,0,0
bn254,off,normal,1x16,cold,12,10,end_to_end,74.615714,0,0
