curve,simd,orientation,layout,cache,threads,sample,phase,milliseconds,avx_msm,avx_each
bn254,off,swapped,1x16,cold,12,0,encryption,0.754096,0,0
bn254,off,swapped,1x16,cold,12,0,validation,0.939661,0,0
bn254,off,swapped,1x16,cold,12,0,share_generation,1.592417,0,0
bn254,off,swapped,1x16,cold,12,0,acceptance,6.306264,0,0
bn254,off,swapped,1x16,cold,12,0,preparation,31.051508,0,0
bn254,off,swapped,1x16,cold,12,0,precompute,3.469115,0,0
bn254,off,swapped,1x16,cold,12,0,opening,6.305393,0,0
bn254,off,swapped,1x16,cold,12,0,combiner,47.132831,0,0
bn254,off,swapped,1x16,cold,12,0,end_to_end,50.419676,0,0
bn254,off,swapped,1x16,cold,12,1,encryption,0.742660,0,0
bn254,off,swapped,1x16,cold,12,1,validation,0.947682,0,0
bn254,off,swapped,1x16,cold,12,1,share_generation,1.569757,0,0
bn254,off,swapped,1x16,cold,12,1,acceptance,6.240433,0,0
bn254,off,swapped,1x16,cold,12,1,preparation,30.917985,0,0
bn254,off,swapped,1x16,cold,12,1,precompute,3.467374,0,0
bn254,off,swapped,1x16,cold,12,1,opening,6.293556,0,0
bn254,off,swapped,1x16,cold,12,1,combiner,46.919928,0,0
bn254,off,swapped,1x16,cold,12,1,end_to_end,50.180447,0,0
bn254,off,swapped,1x16,cold,12,2,encryption,0.758833,0,0
bn254,off,swapped,1x16,cold,12,2,validation,0.951267,0,0
bn254,off,swapped,1x16,cold,12,2,share_generation,1.580121,0,0
bn254,off,swapped,1x16,cold,12,2,acceptance,6.270714,0,0
bn254,off,swapped,1x16,cold,12,2,preparation,30.977857,0,0
bn254,off,swapped,1x16,cold,12,2,precompute,3.924352,0,0
bn254,off,swapped,1x16,cold,12,2,opening,6.310659,0,0
bn254,off,swapped,1x16,cold,12,2,combiner,47.484193,0,0
bn254,off,swapped,1x16,cold,12,2,end_to_end,50.775125,0,0
bn254,off,swapped,1x16,cold,12,3,encryption,0.751022,0,0
bn254,off,swapped,1x16,cold,12,3,validation,0.979686,0,0
bn254,off,swapped,1x16,cold,12,3,share_generation,1.582864,0,0
bn254,off,swapped,1x16,cold,12,3,acceptance,6.257326,0,0
bn254,off,swapped,1x16,cold,12,3,preparation,31.036407,0,0
bn254,off,swapped,1x16,cold,12,3,precompute,3.600446,0,0
bn254,off,swapped,1x16,cold,12,3,opening,6.327723,0,0
bn254,off,swapped,1x16,cold,12,3,combiner,47.222293,0,0
bn254,off,swapped,1x16,cold,12,3,end_to_end,50.536306,0,0
bn254,off,swapped,1x16,cold,12,4,encryption,0.748439,0,0
