backend,curve,simd,orientation,layout,cache,threads,phase,samples,median_ms,p10_ms,p90_ms,avx_msm_min,avx_msm_max,avx_each_min,avx_each_max
blst,bls12_381,native,normal,1x16,cached,12,acceptance,30,7.592180000000001,7.5626287,7.6312756,0,0,0,0
blst,bls12_381,native,normal,1x16,cached,12,combiner,30,25.425324500000002,25.377995199999997,25.490134,0,0,0,0
blst,bls12_381,native,normal,1x16,cached,12,encryption,30,1.0867679999999997,1.0670680000000001,1.1038261,0,0,0,0
blst,bls12_381,native,normal,1x16,cached,12,end_to_end,30,28.6417125,28.5958598,28.719288300000002,0,0,0,0
blst,bls12_381,native,normal,1x16,cached,12,opening,30,9.292790499999999,9.2672648,9.3249613,0,0,0,0
blst,bls12_381,native,normal,1x16,cached,12,precompute,30,8.533167,8.5197582,8.5796026,0,0,0,0
blst,bls12_381,native,normal,1x16,cached,12,preparation,30,0.0,0.0,0.0,0,0,0,0
blst,bls12_381,native,normal,1x16,cached,12,share_generation,30,1.792027,1.786256,1.8014400000000002,0,0,0,0
blst,bls12_381,native,normal,1x16,cached,12,validation,30,0.338285,0.3303208,0.3467834,0,0,0,0
blst,bls12_381,native,normal,1x16,cold,12,acceptance,30,7.6475305,7.615676000000001,7.6942334,0,0,0,0
blst,bls12_381,native,normal,1x16,cold,12,combiner,30,150.4925035,149.8412738,153.429743,0,0,0,0
blst,bls12_381,native,normal,1x16,cold,12,encryption,30,1.090388,1.078203,1.1121814,0,0,0,0
blst,bls12_381,native,normal,1x16,cold,12,end_to_end,30,153.72716250000002,153.04884429999998,156.69065659999998,0,0,0,0
blst,bls12_381,native,normal,1x16,cold,12,opening,30,9.427236,9.3983186,9.455280700000001,0,0,0,0
blst,bls12_381,native,normal,1x16,cold,12,precompute,30,8.6458625,8.6318886,8.681622299999999,0,0,0,0
blst,bls12_381,native,normal,1x16,cold,12,preparation,30,124.774022,124.12061920000001,127.63643659999998,0,0,0,0
blst,bls12_381,native,normal,1x16,cold,12,share_generation,30,1.7988614999999997,1.7887187999999998,1.8188384000000002,0,0,0,0
blst,bls12_381,native,normal,1x16,cold,12,validation,30,0.33927650000000004,0.3326149,0.350143,0,0,0,0
blst,bls12_381,native,normal,4x4,cached,12,acceptance,30,6.251272999999999,6.2182958,6.305183799999999,0,0,0,0
blst,bls12_381,native,normal,4x4,cached,12,combiner,30,17.136201,17.0674895,17.2937292,0,0,0,0
blst,bls12_381,native,normal,4x4,cached,12,encryption,30,1.0874190000000001,1.0752512000000003,1.1019958999999997,0,0,0,0
blst,bls12_381,native,normal,4x4,cached,12,end_to_end,30,20.5060455,20.336591700000003,20.68926,0,0,0,0
blst,bls12_381,native,normal,4x4,cached,12,opening,30,9.245591000000001,9.2199936,9.316659099999999,0,0,0,0
blst,bls12_381,native,normal,4x4,cached,12,precompute,30,1.6180824999999999,1.6095716999999998,1.6397423000000002,0,0,0,0
blst,bls12_381,native,normal,4x4,cached,12,preparation,30,0.0,0.0,0.0,0,0,0,0
blst,bls12_381,native,normal,4x4,cached,12,share_generation,30,2.0070819999999996,1.8741318999999999,2.0267671000000003,0,0,0,0
blst,bls12_381,native,normal,4x4,cached,12,validation,30,0.277561,0.2666506,0.2865266,0,0,0,0
blst,bls12_381,native,normal,4x4,cold,12,acceptance,30,6.2685775,6.2326471,6.291730299999999,0,0,0,0
blst,bls12_381,native,normal,4x4,cold,12,combiner,30,63.3657585,62.53276459999999,65.38129119999999,0,0,0,0
blst,bls12_381,native,normal,4x4,cold,12,encryption,30,1.0876695,1.072465,1.1059873000000002,0,0,0,0
blst,bls12_381,native,normal,4x4,cold,12,end_to_end,30,66.74370099999999,65.8003903,68.6659661,0,0,0,0
blst,bls12_381,native,normal,4x4,cold,12,opening,30,9.241014499999999,9.0168619,9.283920400000001,0,0,0,0
blst,bls12_381,native,normal,4x4,cold,12,precompute,30,1.625864,1.6079778999999998,1.6423352,0,0,0,0
blst,bls12_381,native,normal,4x4,cold,12,preparation,30,46.4336775,45.4518513,48.263425000000005,0,0,0,0
blst,bls12_381,native,normal,4x4,cold,12,share_generation,30,1.9978544999999999,1.8813988000000001,2.026209,0,0,0,0
blst,bls12_381,native,normal,4x4,cold,12,validation,30,0.278082,0.2706397,0.2837534,0,0,0,0
blst,bls12_381,native,normal,8x2,cached,12,acceptance,30,6.016185,5.9986577,6.0451314,0,0,0,0
blst,bls12_381,native,normal,8x2,cached,12,combiner,30,16.0489985,15.9811665,16.298509499999998,0,0,0,0
blst,bls12_381,native,normal,8x2,cached,12,encryption,30,1.081616,1.0684145,1.0973591,0,0,0,0
blst,bls12_381,native,normal,8x2,cached,12,end_to_end,30,19.888783500000002,19.8106991,20.30798,0,0,0,0
blst,bls12_381,native,normal,8x2,cached,12,opening,30,8.999083500000001,8.95851,9.2273903,0,0,0,0
blst,bls12_381,native,normal,8x2,cached,12,precompute,30,1.011184,1.0026503000000002,1.09584,0,0,0,0
blst,bls12_381,native,normal,8x2,cached,12,preparation,30,0.0,0.0,0.0,0,0,0,0
blst,bls12_381,native,normal,8x2,cached,12,share_generation,30,2.48942,2.4776408999999995,2.6636585,0,0,0,0
blst,bls12_381,native,normal,8x2,cached,12,validation,30,0.2621655,0.25106,0.27109540000000004,0,0,0,0
blst,bls12_381,native,normal,8x2,cold,12,acceptance,30,6.0083235,5.974828700000001,6.042118600000001,0,0,0,0
blst,bls12_381,native,normal,8x2,cold,12,combiner,30,53.10743599999999,52.4153934,54.097188,0,0,0,0
blst,bls12_381,native,normal,8x2,cold,12,encryption,30,1.084861,1.0667147,1.1003442,0,0,0,0
blst,bls12_381,native,normal,8x2,cold,12,end_to_end,30,57.11841149999999,56.212148400000004,58.145294500000006,0,0,0,0
blst,bls12_381,native,normal,8x2,cold,12,opening,30,9.110275,8.902985200000002,9.203223200000002,0,0,0,0
blst,bls12_381,native,normal,8x2,cold,12,precompute,30,1.017017,0.9997318,1.1286305,0,0,0,0
blst,bls12_381,native,normal,8x2,cold,12,preparation,30,37.096081999999996,36.268410700000004,37.5177501,0,0,0,0
blst,bls12_381,native,normal,8x2,cold,12,share_generation,30,2.6494345,2.4613499,2.7028334000000003,0,0,0,0
blst,bls12_381,native,normal,8x2,cold,12,validation,30,0.2625955,0.2561078,0.2738601,0,0,0,0
blst,bls12_381,native,swapped,1x16,cached,12,acceptance,30,6.1088525,6.073795100000001,6.145492099999999,0,0,0,0
blst,bls12_381,native,swapped,1x16,cached,12,combiner,30,26.953519,26.9004767,27.0245689,0,0,0,0
blst,bls12_381,native,swapped,1x16,cached,12,encryption,30,1.3143405000000001,1.2993829000000001,1.3284166,0,0,0,0
blst,bls12_381,native,swapped,1x16,cached,12,end_to_end,30,32.880350500000006,32.8070596,32.9838817,0,0,0,0
blst,bls12_381,native,swapped,1x16,cached,12,opening,30,9.3083425,9.290263799999998,9.3326801,0,0,0,0
blst,bls12_381,native,swapped,1x16,cached,12,precompute,30,11.535983000000002,11.5122755,11.5787821,0,0,0,0
blst,bls12_381,native,swapped,1x16,cached,12,preparation,30,0.0,0.0,0.0,0,0,0,0
blst,bls12_381,native,swapped,1x16,cached,12,share_generation,30,4.028404,4.011038800000001,4.0504884,0,0,0,0
blst,bls12_381,native,swapped,1x16,cached,12,validation,30,0.580578,0.5725318999999999,0.5874970999999999,0,0,0,0
blst,bls12_381,native,swapped,1x16,cold,12,acceptance,30,6.178413000000001,6.154030199999999,6.2028697,0,0,0,0
blst,bls12_381,native,swapped,1x16,cold,12,combiner,30,76.911535,76.01672769999999,78.92760690000001,0,0,0,0
blst,bls12_381,native,swapped,1x16,cold,12,encryption,30,1.326267,1.3124999000000002,1.3437103,0,0,0,0
blst,bls12_381,native,swapped,1x16,cold,12,end_to_end,30,82.865682,81.98264389999999,85.0134343,0,0,0,0
blst,bls12_381,native,swapped,1x16,cold,12,opening,30,9.3627225,9.3424856,9.3817676,0,0,0,0
blst,bls12_381,native,swapped,1x16,cold,12,precompute,30,11.6476915,11.6108447,11.6834338,0,0,0,0
blst,bls12_381,native,swapped,1x16,cold,12,preparation,30,49.735299999999995,48.8149349,51.7653057,0,0,0,0
blst,bls12_381,native,swapped,1x16,cold,12,share_generation,30,4.0576195,4.0468929,4.072990000000001,0,0,0,0
blst,bls12_381,native,swapped,1x16,cold,12,validation,30,0.5792355,0.5725369,0.5913351,0,0,0,0
blst,bls12_381,native,swapped,4x4,cached,12,acceptance,30,4.76788,4.742396899999999,4.797890500000001,0,0,0,0
blst,bls12_381,native,swapped,4x4,cached,12,combiner,30,16.101996,15.985566,16.1437148,0,0,0,0
blst,bls12_381,native,swapped,4x4,cached,12,encryption,30,1.3231229999999998,1.3105759000000001,1.3334743,0,0,0,0
blst,bls12_381,native,swapped,4x4,cached,12,end_to_end,30,22.753087999999998,22.5974638,23.106536300000002,0,0,0,0
blst,bls12_381,native,swapped,4x4,cached,12,opening,30,9.267351000000001,9.164152000000001,9.281218,0,0,0,0
blst,bls12_381,native,swapped,4x4,cached,12,precompute,30,2.0623335000000003,2.0499894999999997,2.0755442,0,0,0,0
blst,bls12_381,native,swapped,4x4,cached,12,preparation,30,0.0,0.0,0.0,0,0,0,0
blst,bls12_381,native,swapped,4x4,cached,12,share_generation,30,4.798582000000001,4.776780899999999,5.1544979,0,0,0,0
blst,bls12_381,native,swapped,4x4,cached,12,validation,30,0.510556,0.5021679,0.5149501999999999,0,0,0,0
