curve,simd,orientation,layout,cache,threads,sample,phase,milliseconds,avx_msm,avx_each
bls12_381,avx512,normal,1x16,cold,12,0,encryption,0.974150,0,0
bls12_381,avx512,normal,1x16,cold,12,0,validation,0.921288,0,0
bls12_381,avx512,normal,1x16,cold,12,0,share_generation,1.167466,0,0
bls12_381,avx512,normal,1x16,cold,12,0,acceptance,7.448007,0,0
bls12_381,avx512,normal,1x16,cold,12,0,preparation,105.161326,0,0
bls12_381,avx512,normal,1x16,cold,12,0,precompute,4.100542,0,0
bls12_381,avx512,normal,1x16,cold,12,0,opening,8.423699,0,0
bls12_381,avx512,normal,1x16,cold,12,0,combiner,125.134055,0,0
bls12_381,avx512,normal,1x16,cold,12,0,end_to_end,128.197430,0,0
bls12_381,avx512,normal,1x16,cold,12,1,encryption,0.968823,0,0
bls12_381,avx512,normal,1x16,cold,12,1,validation,0.938591,0,0
bls12_381,avx512,normal,1x16,cold,12,1,share_generation,1.160447,0,0
bls12_381,avx512,normal,1x16,cold,12,1,acceptance,7.436872,0,0
bls12_381,avx512,normal,1x16,cold,12,1,preparation,105.246012,0,0
bls12_381,avx512,normal,1x16,cold,12,1,precompute,3.959908,0,0
bls12_381,avx512,normal,1x16,cold,12,1,opening,8.409851,0,0
bls12_381,avx512,normal,1x16,cold,12,1,combiner,125.053434,0,0
bls12_381,avx512,normal,1x16,cold,12,1,end_to_end,128.121676,0,0
bls12_381,avx512,normal,1x16,cold,12,2,encryption,0.975492,0,0
bls12_381,avx512,normal,1x16,cold,12,2,validation,0.945420,0,0
bls12_381,avx512,normal,1x16,cold,12,2,share_generation,1.156041,0,0
bls12_381,avx512,normal,1x16,cold,12,2,acceptance,7.434248,0,0
bls12_381,avx512,normal,1x16,cold,12,2,preparation,105.323499,0,0
bls12_381,avx512,normal,1x16,cold,12,2,precompute,3.966206,0,0
bls12_381,avx512,normal,1x16,cold,12,2,opening,8.396522,0,0
bls12_381,avx512,normal,1x16,cold,12,2,combiner,125.120907,0,0
bls12_381,avx512,normal,1x16,cold,12,2,end_to_end,128.198181,0,0
bls12_381,avx512,normal,1x16,cold,12,3,encryption,0.979047,0,0
bls12_381,avx512,normal,1x16,cold,12,3,validation,0.930250,0,0
bls12_381,avx512,normal,1x16,cold,12,3,share_generation,1.165594,0,0
bls12_381,avx512,normal,1x16,cold,12,3,acceptance,7.401964,0,0
bls12_381,avx512,normal,1x16,cold,12,3,preparation,105.138935,0,0
bls12_381,avx512,normal,1x16,cold,12,3,precompute,3.953440,0,0
bls12_381,avx512,normal,1x16,cold,12,3,opening,8.413405,0,0
bls12_381,avx512,normal,1x16,cold,12,3,combiner,124.908054,0,0
bls12_381,avx512,normal,1x16,cold,12,3,end_to_end,127.983415,0,0
bls12_381,avx512,normal,1x16,cold,12,4,encryption,0.965919,0,0
