curve,simd,orientation,layout,cache,threads,sample,phase,milliseconds,avx_msm,avx_each
bls12_381,avx512,swapped,1x16,cold,12,0,encryption,1.101014,0,0
bls12_381,avx512,swapped,1x16,cold,12,0,validation,1.049154,0,0
bls12_381,avx512,swapped,1x16,cold,12,0,share_generation,2.898568,0,0
bls12_381,avx512,swapped,1x16,cold,12,0,acceptance,6.443765,0,0
bls12_381,avx512,swapped,1x16,cold,12,0,preparation,39.815420,15,1
bls12_381,avx512,swapped,1x16,cold,12,0,precompute,4.901263,0,0
bls12_381,avx512,swapped,1x16,cold,12,0,opening,8.503750,0,0
bls12_381,avx512,swapped,1x16,cold,12,0,combiner,59.664889,15,1
bls12_381,avx512,swapped,1x16,cold,12,0,end_to_end,64.714127,15,1
bls12_381,avx512,swapped,1x16,cold,12,1,encryption,1.088288,0,0
bls12_381,avx512,swapped,1x16,cold,12,1,validation,1.063493,0,0
bls12_381,avx512,swapped,1x16,cold,12,1,share_generation,2.899930,0,0
bls12_381,avx512,swapped,1x16,cold,12,1,acceptance,6.448202,0,0
bls12_381,avx512,swapped,1x16,cold,12,1,preparation,39.737743,15,1
bls12_381,avx512,swapped,1x16,cold,12,1,precompute,4.934429,0,0
bls12_381,avx512,swapped,1x16,cold,12,1,opening,8.489751,0,0
bls12_381,avx512,swapped,1x16,cold,12,1,combiner,59.610906,15,1
bls12_381,avx512,swapped,1x16,cold,12,1,end_to_end,64.663067,15,1
bls12_381,avx512,swapped,1x16,cold,12,2,encryption,1.100665,0,0
bls12_381,avx512,swapped,1x16,cold,12,2,validation,1.056474,0,0
bls12_381,avx512,swapped,1x16,cold,12,2,share_generation,2.899379,0,0
bls12_381,avx512,swapped,1x16,cold,12,2,acceptance,6.464304,0,0
bls12_381,avx512,swapped,1x16,cold,12,2,preparation,39.745454,15,1
bls12_381,avx512,swapped,1x16,cold,12,2,precompute,4.977148,0,0
bls12_381,avx512,swapped,1x16,cold,12,2,opening,8.471576,0,0
bls12_381,avx512,swapped,1x16,cold,12,2,combiner,59.658922,15,1
bls12_381,avx512,swapped,1x16,cold,12,2,end_to_end,64.715980,15,1
bls12_381,avx512,swapped,1x16,cold,12,3,encryption,1.098020,0,0
bls12_381,avx512,swapped,1x16,cold,12,3,validation,1.045799,0,0
bls12_381,avx512,swapped,1x16,cold,12,3,share_generation,2.923062,0,0
bls12_381,avx512,swapped,1x16,cold,12,3,acceptance,6.399425,0,0
bls12_381,avx512,swapped,1x16,cold,12,3,preparation,40.653113,15,1
bls12_381,avx512,swapped,1x16,cold,12,3,precompute,4.741093,0,0
bls12_381,avx512,swapped,1x16,cold,12,3,opening,8.426915,0,0
bls12_381,avx512,swapped,1x16,cold,12,3,combiner,60.221146,15,1
bls12_381,avx512,swapped,1x16,cold,12,3,end_to_end,65.288498,15,1
bls12_381,avx512,swapped,1x16,cold,12,4,encryption,1.102036,0,0
bls12_381,avx512,swapped,1x16,cold,12,4,validation,1.043866,0,0
bls12_381,avx512,swapped,1x16,cold,12,4,share_generation,2.894873,0,0
bls12_381,avx512,swapped,1x16,cold,12,4,acceptance,6.400666,0,0
bls12_381,avx512,swapped,1x16,cold,12,4,preparation,39.572196,15,1
bls12_381,avx512,swapped,1x16,cold,12,4,precompute,4.907532,0,0
bls12_381,avx512,swapped,1x16,cold,12,4,opening,8.453411,0,0
bls12_381,avx512,swapped,1x16,cold,12,4,combiner,59.334585,15,1
bls12_381,avx512,swapped,1x16,cold,12,4,end_to_end,64.375811,15,1
bls12_381,avx512,swapped,1x16,cold,12,5,encryption,1.089419,0,0
bls12_381,avx512,swapped,1x16,cold,12,5,validation,1.045258,0,0
bls12_381,avx512,swapped,1x16,cold,12,5,share_generation,2.898698,0,0
bls12_381,avx512,swapped,1x16,cold,12,5,acceptance,6.385906,0,0
bls12_381,avx512,swapped,1x16,cold,12,5,preparation,39.607764,15,1
bls12_381,avx512,swapped,1x16,cold,12,5,precompute,4.900122,0,0
bls12_381,avx512,swapped,1x16,cold,12,5,opening,8.434534,0,0
bls12_381,avx512,swapped,1x16,cold,12,5,combiner,59.329018,15,1
bls12_381,avx512,swapped,1x16,cold,12,5,end_to_end,64.362834,15,1
bls12_381,avx512,swapped,1x16,cold,12,6,encryption,1.099993,0,0
bls12_381,avx512,swapped,1x16,cold,12,6,validation,1.038459,0,0
bls12_381,avx512,swapped,1x16,cold,12,6,share_generation,2.876258,0,0
bls12_381,avx512,swapped,1x16,cold,12,6,acceptance,6.390082,0,0
bls12_381,avx512,swapped,1x16,cold,12,6,preparation,39.537888,15,1
bls12_381,avx512,swapped,1x16,cold,12,6,precompute,4.885581,0,0
bls12_381,avx512,swapped,1x16,cold,12,6,opening,8.406396,0,0
bls12_381,avx512,swapped,1x16,cold,12,6,combiner,59.220519,15,1
bls12_381,avx512,swapped,1x16,cold,12,6,end_to_end,64.235819,15,1
bls12_381,avx512,swapped,1x16,cold,12,7,encryption,1.086114,0,0
bls12_381,avx512,swapped,1x16,cold,12,7,validation,1.036155,0,0
bls12_381,avx512,swapped,1x16,cold,12,7,share_generation,2.872042,0,0
bls12_381,avx512,swapped,1x16,cold,12,7,acceptance,6.355174,0,0
bls12_381,avx512,swapped,1x16,cold,12,7,preparation,39.582380,15,1
bls12_381,avx512,swapped,1x16,cold,12,7,precompute,4.887855,0,0
bls12_381,avx512,swapped,1x16,cold,12,7,opening,8.433133,0,0
bls12_381,avx512,swapped,1x16,cold,12,7,combiner,59.259012,15,1
bls12_381,avx512,swapped,1x16,cold,12,7,end_to_end,64.253904,15,1
bls12_381,avx512,swapped,1x16,cold,12,8,encryption,1.084261,0,0
bls12_381,avx512,swapped,1x16,cold,12,8,validation,1.041813,0,0
bls12_381,avx512,swapped,1x16,cold,12,8,share_generation,2.869367,0,0
bls12_381,avx512,swapped,1x16,cold,12,8,acceptance,6.373419,0,0
bls12_381,avx512,swapped,1x16,cold,12,8,preparation,39.517310,15,1
bls12_381,avx512,swapped,1x16,cold,12,8,precompute,4.879794,0,0
bls12_381,avx512,swapped,1x16,cold,12,8,opening,8.430539,0,0
bls12_381,avx512,swapped,1x16,cold,12,8,combiner,59.201492,15,1
bls12_381,avx512,swapped,1x16,cold,12,8,end_to_end,64.197696,15,1
bls12_381,avx512,swapped,1x16,cold,12,9,encryption,1.105992,0,0
bls12_381,avx512,swapped,1x16,cold,12,9,validation,1.064264,0,0
bls12_381,avx512,swapped,1x16,cold,12,9,share_generation,2.885420,0,0
bls12_381,avx512,swapped,1x16,cold,12,9,acceptance,6.349016,0,0
bls12_381,avx512,swapped,1x16,cold,12,9,preparation,39.527864,15,1
bls12_381,avx512,swapped,1x16,cold,12,9,precompute,4.935160,0,0
bls12_381,avx512,swapped,1x16,cold,12,9,opening,8.427916,0,0
bls12_381,avx512,swapped,1x16,cold,12,9,combiner,59.240596,15,1
bls12_381,avx512,swapped,1x16,cold,12,9,end_to_end,64.296703,15,1
bls12_381,avx512,swapped,1x16,cold,12,10,encryption,1.103658,0,0
bls12_381,avx512,swapped,1x16,cold,12,10,validation,1.053650,0,0
bls12_381,avx512,swapped,1x16,cold,12,10,share_generation,2.884849,0,0
bls12_381,avx512,swapped,1x16,cold,12,10,acceptance,6.362584,0,0
bls12_381,avx512,swapped,1x16,cold,12,10,preparation,39.586295,15,1
bls12_381,avx512,swapped,1x16,cold,12,10,precompute,4.910215,0,0
bls12_381,avx512,swapped,1x16,cold,12,10,opening,8.429427,0,0
bls12_381,avx512,swapped,1x16,cold,12,10,combiner,59.288973,15,1
bls12_381,avx512,swapped,1x16,cold,12,10,end_to_end,64.331611,15,1
bls12_381,avx512,swapped,1x16,cold,12,11,encryption,1.080136,0,0
bls12_381,avx512,swapped,1x16,cold,12,11,validation,1.041283,0,0
bls12_381,avx512,swapped,1x16,cold,12,11,share_generation,2.869808,0,0
bls12_381,avx512,swapped,1x16,cold,12,11,acceptance,6.383973,0,0
bls12_381,avx512,swapped,1x16,cold,12,11,preparation,39.513465,15,1
bls12_381,avx512,swapped,1x16,cold,12,11,precompute,4.902465,0,0
bls12_381,avx512,swapped,1x16,cold,12,11,opening,8.424070,0,0
bls12_381,avx512,swapped,1x16,cold,12,11,combiner,59.224534,15,1
bls12_381,avx512,swapped,1x16,cold,12,11,end_to_end,64.216232,15,1
bls12_381,avx512,swapped,1x16,cold,12,12,encryption,1.070193,0,0
bls12_381,avx512,swapped,1x16,cold,12,12,validation,1.039911,0,0
bls12_381,avx512,swapped,1x16,cold,12,12,share_generation,2.875206,0,0
bls12_381,avx512,swapped,1x16,cold,12,12,acceptance,6.354243,0,0
bls12_381,avx512,swapped,1x16,cold,12,12,preparation,39.601636,15,1
bls12_381,avx512,swapped,1x16,cold,12,12,precompute,4.892632,0,0
bls12_381,avx512,swapped,1x16,cold,12,12,opening,8.424961,0,0
bls12_381,avx512,swapped,1x16,cold,12,12,combiner,59.274213,15,1
bls12_381,avx512,swapped,1x16,cold,12,12,end_to_end,64.260103,15,1
bls12_381,avx512,swapped,1x16,cold,12,13,encryption,1.094066,0,0
bls12_381,avx512,swapped,1x16,cold,12,13,validation,1.060769,0,0
bls12_381,avx512,swapped,1x16,cold,12,13,share_generation,2.877068,0,0
bls12_381,avx512,swapped,1x16,cold,12,13,acceptance,6.358788,0,0
bls12_381,avx512,swapped,1x16,cold,12,13,preparation,39.670121,15,1
bls12_381,avx512,swapped,1x16,cold,12,13,precompute,4.875788,0,0
bls12_381,avx512,swapped,1x16,cold,12,13,opening,8.411874,0,0
bls12_381,avx512,swapped,1x16,cold,12,13,combiner,59.316931,15,1
bls12_381,avx512,swapped,1x16,cold,12,13,end_to_end,64.349746,15,1
bls12_381,avx512,swapped,1x16,cold,12,14,encryption,1.071644,0,0
bls12_381,avx512,swapped,1x16,cold,12,14,validation,1.041422,0,0
bls12_381,avx512,swapped,1x16,cold,12,14,share_generation,2.859324,0,0
bls12_381,avx512,swapped,1x16,cold,12,14,acceptance,6.355033,0,0
bls12_381,avx512,swapped,1x16,cold,12,14,preparation,39.565056,15,1
bls12_381,avx512,swapped,1x16,cold,12,14,precompute,4.889137,0,0
bls12_381,avx512,swapped,1x16,cold,12,14,opening,8.421096,0,0
bls12_381,avx512,swapped,1x16,cold,12,14,combiner,59.230732,15,1
bls12_381,avx512,swapped,1x16,cold,12,14,end_to_end,64.203614,15,1
bls12_381,avx512,swapped,1x16,cached,12,0,encryption,1.083551,0,0
bls12_381,avx512,swapped,1x16,cached,12,0,validation,1.060750,0,0
bls12_381,avx512,swapped,1x16,cached,12,0,share_generation,2.881244,0,0
bls12_381,avx512,swapped,1x16,cached,12,0,acceptance,6.425460,0,0
bls12_381,avx512,swapped,1x16,cached,12,0,preparation,0.000020,0,0
bls12_381,avx512,swapped,1x16,cached,12,0,precompute,4.877901,0,0
bls12_381,avx512,swapped,1x16,cached,12,0,opening,8.475721,0,0
