curve,simd,orientation,layout,cache,threads,sample,phase,milliseconds,avx_msm,avx_each
bls12_381,off,normal,1x16,cold,12,0,encryption,0.981851,0,0
bls12_381,off,normal,1x16,cold,12,0,validation,0.925654,0,0
bls12_381,off,normal,1x16,cold,12,0,share_generation,1.147989,0,0
bls12_381,off,normal,1x16,cold,12,0,acceptance,7.449069,0,0
bls12_381,off,normal,1x16,cold,12,0,preparation,106.554452,0,0
bls12_381,off,normal,1x16,cold,12,0,precompute,3.991371,0,0
bls12_381,off,normal,1x16,cold,12,0,opening,8.485145,0,0
bls12_381,off,normal,1x16,cold,12,0,combiner,126.480468,0,0
bls12_381,off,normal,1x16,cold,12,0,end_to_end,129.536482,0,0
bls12_381,off,normal,1x16,cold,12,1,encryption,0.981110,0,0
bls12_381,off,normal,1x16,cold,12,1,validation,0.945841,0,0
bls12_381,off,normal,1x16,cold,12,1,share_generation,1.158364,0,0
bls12_381,off,normal,1x16,cold,12,1,acceptance,7.450852,0,0
bls12_381,off,normal,1x16,cold,12,1,preparation,106.401511,0,0
bls12_381,off,normal,1x16,cold,12,1,precompute,3.991742,0,0
bls12_381,off,normal,1x16,cold,12,1,opening,8.516407,0,0
bls12_381,off,normal,1x16,cold,12,1,combiner,126.360853,0,0
bls12_381,off,normal,1x16,cold,12,1,end_to_end,129.446868,0,0
bls12_381,off,normal,1x16,cold,12,2,encryption,0.993456,0,0
bls12_381,off,normal,1x16,cold,12,2,validation,0.931161,0,0
bls12_381,off,normal,1x16,cold,12,2,share_generation,1.174876,0,0
bls12_381,off,normal,1x16,cold,12,2,acceptance,7.418606,0,0
bls12_381,off,normal,1x16,cold,12,2,preparation,106.936148,0,0
bls12_381,off,normal,1x16,cold,12,2,precompute,3.860342,0,0
bls12_381,off,normal,1x16,cold,12,2,opening,8.511821,0,0
bls12_381,off,normal,1x16,cold,12,2,combiner,126.727317,0,0
bls12_381,off,normal,1x16,cold,12,2,end_to_end,129.827382,0,0
bls12_381,off,normal,1x16,cold,12,3,encryption,0.975082,0,0
bls12_381,off,normal,1x16,cold,12,3,validation,0.938291,0,0
bls12_381,off,normal,1x16,cold,12,3,share_generation,1.153107,0,0
bls12_381,off,normal,1x16,cold,12,3,acceptance,7.417495,0,0
bls12_381,off,normal,1x16,cold,12,3,preparation,106.187948,0,0
bls12_381,off,normal,1x16,cold,12,3,precompute,3.850527,0,0
bls12_381,off,normal,1x16,cold,12,3,opening,8.485434,0,0
bls12_381,off,normal,1x16,cold,12,3,combiner,125.941966,0,0
bls12_381,off,normal,1x16,cold,12,3,end_to_end,129.008966,0,0
