curve,simd,orientation,layout,cache,threads,sample,phase,milliseconds,avx_msm,avx_each
bls12_381,off,swapped,1x16,cold,12,0,encryption,1.096859,0,0
bls12_381,off,swapped,1x16,cold,12,0,validation,1.060479,0,0
bls12_381,off,swapped,1x16,cold,12,0,share_generation,2.911957,0,0
bls12_381,off,swapped,1x16,cold,12,0,acceptance,6.452738,0,0
bls12_381,off,swapped,1x16,cold,12,0,preparation,50.670485,0,0
bls12_381,off,swapped,1x16,cold,12,0,precompute,4.956870,0,0
bls12_381,off,swapped,1x16,cold,12,0,opening,8.494798,0,0
bls12_381,off,swapped,1x16,cold,12,0,combiner,70.575181,0,0
bls12_381,off,swapped,1x16,cold,12,0,end_to_end,75.644976,0,0
bls12_381,off,swapped,1x16,cold,12,1,encryption,1.102096,0,0
bls12_381,off,swapped,1x16,cold,12,1,validation,1.045027,0,0
bls12_381,off,swapped,1x16,cold,12,1,share_generation,2.895273,0,0
bls12_381,off,swapped,1x16,cold,12,1,acceptance,6.455052,0,0
bls12_381,off,swapped,1x16,cold,12,1,preparation,50.729806,0,0
bls12_381,off,swapped,1x16,cold,12,1,precompute,4.907301,0,0
bls12_381,off,swapped,1x16,cold,12,1,opening,8.473649,0,0
bls12_381,off,swapped,1x16,cold,12,1,combiner,70.566149,0,0
bls12_381,off,swapped,1x16,cold,12,1,end_to_end,75.609107,0,0
bls12_381,off,swapped,1x16,cold,12,2,encryption,1.087196,0,0
bls12_381,off,swapped,1x16,cold,12,2,validation,1.048963,0,0
bls12_381,off,swapped,1x16,cold,12,2,share_generation,2.897427,0,0
bls12_381,off,swapped,1x16,cold,12,2,acceptance,6.413754,0,0
bls12_381,off,swapped,1x16,cold,12,2,preparation,50.505869,0,0
bls12_381,off,swapped,1x16,cold,12,2,precompute,4.697813,0,0
bls12_381,off,swapped,1x16,cold,12,2,opening,8.428276,0,0
bls12_381,off,swapped,1x16,cold,12,2,combiner,70.045873,0,0
bls12_381,off,swapped,1x16,cold,12,2,end_to_end,75.079949,0,0
bls12_381,off,swapped,1x16,cold,12,3,encryption,1.098461,0,0
bls12_381,off,swapped,1x16,cold,12,3,validation,1.046529,0,0
bls12_381,off,swapped,1x16,cold,12,3,share_generation,2.884608,0,0
bls12_381,off,swapped,1x16,cold,12,3,acceptance,6.364136,0,0
bls12_381,off,swapped,1x16,cold,12,3,preparation,50.605946,0,0
bls12_381,off,swapped,1x16,cold,12,3,precompute,4.705964,0,0
bls12_381,off,swapped,1x16,cold,12,3,opening,8.436017,0,0
bls12_381,off,swapped,1x16,cold,12,3,combiner,70.112514,0,0
bls12_381,off,swapped,1x16,cold,12,3,end_to_end,75.142595,0,0
bls12_381,off,swapped,1x16,cold,12,4,encryption,1.104249,0,0
bls12_381,off,swapped,1x16,cold,12,4,validation,1.058787,0,0
bls12_381,off,swapped,1x16,cold,12,4,share_generation,2.895914,0,0
bls12_381,off,swapped,1x16,cold,12,4,acceptance,6.442684,0,0
bls12_381,off,swapped,1x16,cold,12,4,preparation,50.581072,0,0
bls12_381,off,swapped,1x16,cold,12,4,precompute,4.691375,0,0
bls12_381,off,swapped,1x16,cold,12,4,opening,8.425262,0,0
bls12_381,off,swapped,1x16,cold,12,4,combiner,70.140733,0,0
bls12_381,off,swapped,1x16,cold,12,4,end_to_end,75.200214,0,0
bls12_381,off,swapped,1x16,cold,12,5,encryption,1.101545,0,0
bls12_381,off,swapped,1x16,cold,12,5,validation,1.046520,0,0
bls12_381,off,swapped,1x16,cold,12,5,share_generation,2.888174,0,0
bls12_381,off,swapped,1x16,cold,12,5,acceptance,6.456553,0,0
bls12_381,off,swapped,1x16,cold,12,5,preparation,50.707847,0,0
bls12_381,off,swapped,1x16,cold,12,5,precompute,4.705665,0,0
bls12_381,off,swapped,1x16,cold,12,5,opening,8.449074,0,0
bls12_381,off,swapped,1x16,cold,12,5,combiner,70.319739,0,0
bls12_381,off,swapped,1x16,cold,12,5,end_to_end,75.356579,0,0
bls12_381,off,swapped,1x16,cold,12,6,encryption,1.103228,0,0
bls12_381,off,swapped,1x16,cold,12,6,validation,1.044727,0,0
bls12_381,off,swapped,1x16,cold,12,6,share_generation,2.882837,0,0
bls12_381,off,swapped,1x16,cold,12,6,acceptance,6.407125,0,0
bls12_381,off,swapped,1x16,cold,12,6,preparation,50.726893,0,0
bls12_381,off,swapped,1x16,cold,12,6,precompute,4.715688,0,0
bls12_381,off,swapped,1x16,cold,12,6,opening,8.438119,0,0
bls12_381,off,swapped,1x16,cold,12,6,combiner,70.288246,0,0
bls12_381,off,swapped,1x16,cold,12,6,end_to_end,75.319528,0,0
bls12_381,off,swapped,1x16,cold,12,7,encryption,1.088428,0,0
bls12_381,off,swapped,1x16,cold,12,7,validation,1.060820,0,0
bls12_381,off,swapped,1x16,cold,12,7,share_generation,2.890276,0,0
bls12_381,off,swapped,1x16,cold,12,7,acceptance,6.430767,0,0
bls12_381,off,swapped,1x16,cold,12,7,preparation,50.638791,0,0
bls12_381,off,swapped,1x16,cold,12,7,precompute,4.796218,0,0
bls12_381,off,swapped,1x16,cold,12,7,opening,8.438400,0,0
bls12_381,off,swapped,1x16,cold,12,7,combiner,70.304899,0,0
bls12_381,off,swapped,1x16,cold,12,7,end_to_end,75.344894,0,0
bls12_381,off,swapped,1x16,cold,12,8,encryption,1.113422,0,0
bls12_381,off,swapped,1x16,cold,12,8,validation,1.046910,0,0
bls12_381,off,swapped,1x16,cold,12,8,share_generation,2.912367,0,0
bls12_381,off,swapped,1x16,cold,12,8,acceptance,6.445478,0,0
bls12_381,off,swapped,1x16,cold,12,8,preparation,51.003663,0,0
bls12_381,off,swapped,1x16,cold,12,8,precompute,4.779996,0,0
bls12_381,off,swapped,1x16,cold,12,8,opening,8.434845,0,0
bls12_381,off,swapped,1x16,cold,12,8,combiner,70.664363,0,0
bls12_381,off,swapped,1x16,cold,12,8,end_to_end,75.737403,0,0
bls12_381,off,swapped,1x16,cold,12,9,encryption,1.106322,0,0
bls12_381,off,swapped,1x16,cold,12,9,validation,1.055552,0,0
bls12_381,off,swapped,1x16,cold,12,9,share_generation,2.898838,0,0
