curve,simd,orientation,layout,cache,threads,sample,phase,milliseconds,avx_msm,avx_each
bn254,off,normal,1x16,cold,12,0,encryption,0.710137,0,0
bn254,off,normal,1x16,cold,12,0,validation,0.718729,0,0
bn254,off,normal,1x16,cold,12,0,share_generation,0.723896,0,0
bn254,off,normal,1x16,cold,12,0,acceptance,5.240180,0,0
bn254,off,normal,1x16,cold,12,0,preparation,58.071167,0,0
bn254,off,normal,1x16,cold,12,0,precompute,2.839377,0,0
bn254,off,normal,1x16,cold,12,0,opening,6.324632,0,0
bn254,off,normal,1x16,cold,12,0,combiner,72.476036,0,0
bn254,off,normal,1x16,cold,12,0,end_to_end,74.629248,0,0
bn254,off,normal,1x16,cold,12,1,encryption,0.693855,0,0
bn254,off,normal,1x16,cold,12,1,validation,0.721503,0,0
bn254,off,normal,1x16,cold,12,1,share_generation,0.722604,0,0
bn254,off,normal,1x16,cold,12,1,acceptance,5.228714,0,0
bn254,off,normal,1x16,cold,12,1,preparation,58.338886,0,0
bn254,off,normal,1x16,cold,12,1,precompute,2.961555,0,0
bn254,off,normal,1x16,cold,12,1,opening,6.317562,0,0
bn254,off,normal,1x16,cold,12,1,combiner,72.847167,0,0
bn254,off,normal,1x16,cold,12,1,end_to_end,74.985709,0,0
bn254,off,normal,1x16,cold,12,2,encryption,0.704740,0,0
bn254,off,normal,1x16,cold,12,2,validation,0.717397,0,0
bn254,off,normal,1x16,cold,12,2,share_generation,0.719810,0,0
bn254,off,normal,1x16,cold,12,2,acceptance,5.262671,0,0
bn254,off,normal,1x16,cold,12,2,preparation,58.390026,0,0
bn254,off,normal,1x16,cold,12,2,precompute,2.870189,0,0
bn254,off,normal,1x16,cold,12,2,opening,6.328677,0,0
bn254,off,normal,1x16,cold,12,2,combiner,72.851924,0,0
bn254,off,normal,1x16,cold,12,2,end_to_end,74.994301,0,0
bn254,off,normal,1x16,cold,12,3,encryption,0.706692,0,0
bn254,off,normal,1x16,cold,12,3,validation,0.717688,0,0
bn254,off,normal,1x16,cold,12,3,share_generation,0.717757,0,0
bn254,off,normal,1x16,cold,12,3,acceptance,5.248751,0,0
bn254,off,normal,1x16,cold,12,3,preparation,58.121406,0,0
bn254,off,normal,1x16,cold,12,3,precompute,2.907610,0,0
bn254,off,normal,1x16,cold,12,3,opening,6.327967,0,0
bn254,off,normal,1x16,cold,12,3,combiner,72.606395,0,0
bn254,off,normal,1x16,cold,12,3,end_to_end,74.748983,0,0
bn254,off,normal,1x16,cold,12,4,encryption,0.713612,0,0
bn254,off,normal,1x16,cold,12,4,validation,0.735622,0,0
bn254,off,normal,1x16,cold,12,4,share_generation,0.723826,0,0
bn254,off,normal,1x16,cold,12,4,acceptance,5.241922,0,0
bn254,off,normal,1x16,cold,12,4,preparation,58.463927,0,0
bn254,off,normal,1x16,cold,12,4,precompute,2.889586,0,0
bn254,off,normal,1x16,cold,12,4,opening,6.326685,0,0
bn254,off,normal,1x16,cold,12,4,combiner,72.922711,0,0
bn254,off,normal,1x16,cold,12,4,end_to_end,75.096221,0,0
bn254,off,normal,1x16,cold,12,5,encryption,0.701155,0,0
bn254,off,normal,1x16,cold,12,5,validation,0.724317,0,0
bn254,off,normal,1x16,cold,12,5,share_generation,0.737945,0,0
bn254,off,normal,1x16,cold,12,5,acceptance,5.247600,0,0
bn254,off,normal,1x16,cold,12,5,preparation,58.341479,0,0
bn254,off,normal,1x16,cold,12,5,precompute,2.887613,0,0
bn254,off,normal,1x16,cold,12,5,opening,6.332042,0,0
bn254,off,normal,1x16,cold,12,5,combiner,72.808964,0,0
bn254,off,normal,1x16,cold,12,5,end_to_end,74.972821,0,0
bn254,off,normal,1x16,cold,12,6,encryption,0.725399,0,0
bn254,off,normal,1x16,cold,12,6,validation,0.716686,0,0
bn254,off,normal,1x16,cold,12,6,share_generation,0.728722,0,0
bn254,off,normal,1x16,cold,12,6,acceptance,5.257834,0,0
bn254,off,normal,1x16,cold,12,6,preparation,58.270391,0,0
bn254,off,normal,1x16,cold,12,6,precompute,2.696350,0,0
bn254,off,normal,1x16,cold,12,6,opening,6.324682,0,0
bn254,off,normal,1x16,cold,12,6,combiner,72.549677,0,0
bn254,off,normal,1x16,cold,12,6,end_to_end,74.720895,0,0
bn254,off,normal,1x16,cold,12,7,encryption,0.719090,0,0
bn254,off,normal,1x16,cold,12,7,validation,0.734861,0,0
bn254,off,normal,1x16,cold,12,7,share_generation,0.727561,0,0
bn254,off,normal,1x16,cold,12,7,acceptance,5.247620,0,0
bn254,off,normal,1x16,cold,12,7,preparation,58.187077,0,0
bn254,off,normal,1x16,cold,12,7,precompute,2.967293,0,0
bn254,off,normal,1x16,cold,12,7,opening,6.339642,0,0
bn254,off,normal,1x16,cold,12,7,combiner,72.742312,0,0
bn254,off,normal,1x16,cold,12,7,end_to_end,74.924225,0,0
bn254,off,normal,1x16,cold,12,8,encryption,0.733489,0,0
bn254,off,normal,1x16,cold,12,8,validation,0.737605,0,0
bn254,off,normal,1x16,cold,12,8,share_generation,0.721152,0,0
bn254,off,normal,1x16,cold,12,8,acceptance,5.243655,0,0
bn254,off,normal,1x16,cold,12,8,preparation,58.096021,0,0
bn254,off,normal,1x16,cold,12,8,precompute,2.979789,0,0
bn254,off,normal,1x16,cold,12,8,opening,6.330681,0,0
bn254,off,normal,1x16,cold,12,8,combiner,72.650717,0,0
bn254,off,normal,1x16,cold,12,8,end_to_end,74.843413,0,0
bn254,off,normal,1x16,cold,12,9,encryption,0.717307,0,0
bn254,off,normal,1x16,cold,12,9,validation,0.733980,0,0
bn254,off,normal,1x16,cold,12,9,share_generation,0.719890,0,0
bn254,off,normal,1x16,cold,12,9,acceptance,5.240541,0,0
bn254,off,normal,1x16,cold,12,9,preparation,58.041766,0,0
bn254,off,normal,1x16,cold,12,9,precompute,2.815073,0,0
bn254,off,normal,1x16,cold,12,9,opening,6.320746,0,0
bn254,off,normal,1x16,cold,12,9,combiner,72.418617,0,0
bn254,off,normal,1x16,cold,12,9,end_to_end,74.590204,0,0
bn254,off,normal,1x16,cold,12,10,encryption,0.720992,0,0
bn254,off,normal,1x16,cold,12,10,validation,0.727301,0,0
bn254,off,normal,1x16,cold,12,10,share_generation,0.723556,0,0
bn254,off,normal,1x16,cold,12,10,acceptance,5.253508,0,0
bn254,off,normal,1x16,cold,12,10,preparation,58.140963,0,0
bn254,off,normal,1x16,cold,12,10,precompute,2.896846,0,0
bn254,off,normal,1x16,cold,12,10,opening,6.332793,0,0
bn254,off,normal,1x16,cold,12,10,combiner,72.624490,0,0
bn254,off,normal,1x16,cold,12,10,end_to_end,74.797149,0,0
bn254,off,normal,1x16,cold,12,11,encryption,0.693984,0,0
bn254,off,normal,1x16,cold,12,11,validation,0.722444,0,0
bn254,off,normal,1x16,cold,12,11,share_generation,0.723034,0,0
bn254,off,normal,1x16,cold,12,11,acceptance,5.248130,0,0
bn254,off,normal,1x16,cold,12,11,preparation,58.195248,0,0
bn254,off,normal,1x16,cold,12,11,precompute,2.860396,0,0
bn254,off,normal,1x16,cold,12,11,opening,6.333684,0,0
bn254,off,normal,1x16,cold,12,11,combiner,72.637888,0,0
bn254,off,normal,1x16,cold,12,11,end_to_end,74.777752,0,0
bn254,off,normal,1x16,cold,12,12,encryption,0.724397,0,0
bn254,off,normal,1x16,cold,12,12,validation,0.739267,0,0
bn254,off,normal,1x16,cold,12,12,share_generation,0.733880,0,0
bn254,off,normal,1x16,cold,12,12,acceptance,5.238868,0,0
bn254,off,normal,1x16,cold,12,12,preparation,58.279454,0,0
bn254,off,normal,1x16,cold,12,12,precompute,2.984497,0,0
bn254,off,normal,1x16,cold,12,12,opening,6.332893,0,0
bn254,off,normal,1x16,cold,12,12,combiner,72.836432,0,0
bn254,off,normal,1x16,cold,12,12,end_to_end,75.034386,0,0
bn254,off,normal,1x16,cold,12,13,encryption,0.706252,0,0
bn254,off,normal,1x16,cold,12,13,validation,0.723956,0,0
bn254,off,normal,1x16,cold,12,13,share_generation,0.729805,0,0
bn254,off,normal,1x16,cold,12,13,acceptance,5.244465,0,0
