curve,simd,orientation,layout,cache,threads,sample,phase,milliseconds,avx_msm,avx_each
bn254,off,swapped,1x16,cold,12,0,encryption,0.753366,0,0
bn254,off,swapped,1x16,cold,12,0,validation,0.937650,0,0
bn254,off,swapped,1x16,cold,12,0,share_generation,1.585822,0,0
bn254,off,swapped,1x16,cold,12,0,acceptance,6.303723,0,0
bn254,off,swapped,1x16,cold,12,0,preparation,31.041108,0,0
bn254,off,swapped,1x16,cold,12,0,precompute,3.480458,0,0
bn254,off,swapped,1x16,cold,12,0,opening,6.293539,0,0
bn254,off,swapped,1x16,cold,12,0,combiner,47.119159,0,0
bn254,off,swapped,1x16,cold,12,0,end_to_end,50.396708,0,0
bn254,off,swapped,1x16,cold,12,1,encryption,0.742081,0,0
bn254,off,swapped,1x16,cold,12,1,validation,0.947264,0,0
bn254,off,swapped,1x16,cold,12,1,share_generation,1.561308,0,0
bn254,off,swapped,1x16,cold,12,1,acceptance,6.203596,0,0
bn254,off,swapped,1x16,cold,12,1,preparation,30.890961,0,0
bn254,off,swapped,1x16,cold,12,1,precompute,3.591070,0,0
bn254,off,swapped,1x16,cold,12,1,opening,6.294130,0,0
bn254,off,swapped,1x16,cold,12,1,combiner,46.980328,0,0
bn254,off,swapped,1x16,cold,12,1,end_to_end,50.231621,0,0
bn254,off,swapped,1x16,cold,12,2,encryption,0.767265,0,0
bn254,off,swapped,1x16,cold,12,2,validation,0.945380,0,0
bn254,off,swapped,1x16,cold,12,2,share_generation,1.592792,0,0
bn254,off,swapped,1x16,cold,12,2,acceptance,6.256308,0,0
bn254,off,swapped,1x16,cold,12,2,preparation,30.926540,0,0
bn254,off,swapped,1x16,cold,12,2,precompute,3.865618,0,0
bn254,off,swapped,1x16,cold,12,2,opening,6.295812,0,0
bn254,off,swapped,1x16,cold,12,2,combiner,47.344789,0,0
bn254,off,swapped,1x16,cold,12,2,end_to_end,50.650667,0,0
bn254,off,swapped,1x16,cold,12,3,encryption,0.779632,0,0
bn254,off,swapped,1x16,cold,12,3,validation,0.964848,0,0
bn254,off,swapped,1x16,cold,12,3,share_generation,1.583138,0,0
bn254,off,swapped,1x16,cold,12,3,acceptance,6.257109,0,0
bn254,off,swapped,1x16,cold,12,3,preparation,31.036512,0,0
bn254,off,swapped,1x16,cold,12,3,precompute,3.669299,0,0
bn254,off,swapped,1x16,cold,12,3,opening,6.320666,0,0
bn254,off,swapped,1x16,cold,12,3,combiner,47.284387,0,0
bn254,off,swapped,1x16,cold,12,3,end_to_end,50.612445,0,0
bn254,off,swapped,1x16,cold,12,4,encryption,0.802323,0,0
bn254,off,swapped,1x16,cold,12,4,validation,0.978406,0,0
bn254,off,swapped,1x16,cold,12,4,share_generation,1.585531,0,0
bn254,off,swapped,1x16,cold,12,4,acceptance,6.295481,0,0
bn254,off,swapped,1x16,cold,12,4,preparation,30.998530,0,0
bn254,off,swapped,1x16,cold,12,4,precompute,3.656401,0,0
bn254,off,swapped,1x16,cold,12,4,opening,6.323640,0,0
bn254,off,swapped,1x16,cold,12,4,combiner,47.274452,0,0
bn254,off,swapped,1x16,cold,12,4,end_to_end,50.641264,0,0
bn254,off,swapped,1x16,cold,12,5,encryption,0.748250,0,0
bn254,off,swapped,1x16,cold,12,5,validation,0.962324,0,0
bn254,off,swapped,1x16,cold,12,5,share_generation,1.585672,0,0
bn254,off,swapped,1x16,cold,12,5,acceptance,6.259362,0,0
bn254,off,swapped,1x16,cold,12,5,preparation,31.002995,0,0
bn254,off,swapped,1x16,cold,12,5,precompute,3.462574,0,0
bn254,off,swapped,1x16,cold,12,5,opening,6.324001,0,0
bn254,off,swapped,1x16,cold,12,5,combiner,47.049603,0,0
bn254,off,swapped,1x16,cold,12,5,end_to_end,50.346760,0,0
bn254,off,swapped,1x16,cold,12,6,encryption,0.777229,0,0
bn254,off,swapped,1x16,cold,12,6,validation,0.959320,0,0
bn254,off,swapped,1x16,cold,12,6,share_generation,1.590929,0,0
bn254,off,swapped,1x16,cold,12,6,acceptance,6.261395,0,0
bn254,off,swapped,1x16,cold,12,6,preparation,31.052914,0,0
bn254,off,swapped,1x16,cold,12,6,precompute,3.874661,0,0
bn254,off,swapped,1x16,cold,12,6,opening,6.347853,0,0
bn254,off,swapped,1x16,cold,12,6,combiner,47.537294,0,0
bn254,off,swapped,1x16,cold,12,6,end_to_end,50.865263,0,0
bn254,off,swapped,1x16,cold,12,7,encryption,0.774645,0,0
bn254,off,swapped,1x16,cold,12,7,validation,0.966790,0,0
bn254,off,swapped,1x16,cold,12,7,share_generation,1.609214,0,0
bn254,off,swapped,1x16,cold,12,7,acceptance,6.285709,0,0
bn254,off,swapped,1x16,cold,12,7,preparation,32.944637,0,0
bn254,off,swapped,1x16,cold,12,7,precompute,3.852280,0,0
bn254,off,swapped,1x16,cold,12,7,opening,6.331141,0,0
bn254,off,swapped,1x16,cold,12,7,combiner,49.414237,0,0
bn254,off,swapped,1x16,cold,12,7,end_to_end,52.765447,0,0
bn254,off,swapped,1x16,cold,12,8,encryption,1.149592,0,0
bn254,off,swapped,1x16,cold,12,8,validation,0.941195,0,0
bn254,off,swapped,1x16,cold,12,8,share_generation,1.602985,0,0
bn254,off,swapped,1x16,cold,12,8,acceptance,6.293469,0,0
bn254,off,swapped,1x16,cold,12,8,preparation,32.865598,0,0
bn254,off,swapped,1x16,cold,12,8,precompute,3.883293,0,0
bn254,off,swapped,1x16,cold,12,8,opening,6.328767,0,0
bn254,off,swapped,1x16,cold,12,8,combiner,49.371577,0,0
bn254,off,swapped,1x16,cold,12,8,end_to_end,53.065901,0,0
bn254,off,swapped,1x16,cold,12,9,encryption,0.790137,0,0
bn254,off,swapped,1x16,cold,12,9,validation,0.970526,0,0
bn254,off,swapped,1x16,cold,12,9,share_generation,1.603336,0,0
