backend,curve,simd,orientation,layout,cache,threads,phase,samples,median_ms,p10_ms,p90_ms,avx_msm_min,avx_msm_max,avx_each_min,avx_each_max
blst,bls12_381,native,normal,1x16,cached,12,acceptance,30,7.5944495,7.5642077,7.6313233,0,0,0,0
blst,bls12_381,native,normal,1x16,cached,12,combiner,30,25.4167695,25.379144999999998,25.564716800000003,0,0,0,0
blst,bls12_381,native,normal,1x16,cached,12,encryption,30,1.083145,1.067657,1.1020154000000002,0,0,0,0
blst,bls12_381,native,normal,1x16,cached,12,end_to_end,30,28.631840500000003,28.5797133,28.834740999999998,0,0,0,0
blst,bls12_381,native,normal,1x16,cached,12,opening,30,9.289957999999999,9.2604668,9.319294000000001,0,0,0,0
blst,bls12_381,native,normal,1x16,cached,12,precompute,30,8.537376000000002,8.4999027,8.6658612,0,0,0,0
blst,bls12_381,native,normal,1x16,cached,12,preparation,30,0.0,0.0,0.0,0,0,0,0
blst,bls12_381,native,normal,1x16,cached,12,share_generation,30,1.7957705000000002,1.7842,1.8119091,0,0,0,0
blst,bls12_381,native,normal,1x16,cached,12,validation,30,0.335982,0.32818790000000003,0.3472815,0,0,0,0
blst,bls12_381,native,normal,1x16,cold,12,acceptance,30,7.641850499999999,7.615808100000001,7.6749901,0,0,0,0
blst,bls12_381,native,normal,1x16,cold,12,combiner,30,151.6606135,149.87203780000002,156.1327197,0,0,0,0
blst,bls12_381,native,normal,1x16,cold,12,encryption,30,1.089419,1.0792788,1.1040751,0,0,0,0
blst,bls12_381,native,normal,1x16,cold,12,end_to_end,30,154.88108999999997,153.08261660000002,159.36253920000001,0,0,0,0
blst,bls12_381,native,normal,1x16,cold,12,opening,30,9.403833500000001,9.386333800000001,9.4265092,0,0,0,0
blst,bls12_381,native,normal,1x16,cold,12,precompute,30,8.6430765,8.614713300000002,8.670506699999999,0,0,0,0
blst,bls12_381,native,normal,1x16,cold,12,preparation,30,126.0301905,124.2087966,130.42460889999998,0,0,0,0
blst,bls12_381,native,normal,1x16,cold,12,share_generation,30,1.8006579999999999,1.7950827999999999,1.8157371,0,0,0,0
blst,bls12_381,native,normal,1x16,cold,12,validation,30,0.3347855,0.327971,0.34628319999999996,0,0,0,0
blst,bls12_381,native,normal,4x4,cached,12,acceptance,30,6.2690515,6.2178715,6.2969162,0,0,0,0
blst,bls12_381,native,normal,4x4,cached,12,combiner,30,17.124947499999998,16.9321516,17.191653,0,0,0,0
blst,bls12_381,native,normal,4x4,cached,12,encryption,30,1.0905605,1.0773934,1.1067930000000001,0,0,0,0
blst,bls12_381,native,normal,4x4,cached,12,end_to_end,30,20.408960999999998,20.268069999999998,20.586262800000004,0,0,0,0
blst,bls12_381,native,normal,4x4,cached,12,opening,30,9.2412245,9.009517299999999,9.273750399999999,0,0,0,0
blst,bls12_381,native,normal,4x4,cached,12,precompute,30,1.6214765,1.6089095999999998,1.6352066,0,0,0,0
