scheme,error,total,round,sample,samples,N,source_N,W,q,t,selected_parties,selected_weight,threads,phase,value,ms,unit,statistic,origin,denominator,source_label,log
pfe,1/8,16,1,0,5,764,234,764,512,511,512,512,12,setup,147.352,147.352,ms,internal_arithmetic_mean,reported,,trusted key generation,pfe_e8_m16_r1.stdout.log
pfe,1/8,16,1,0,5,764,234,764,512,511,512,512,12,encryption,1.301,1.301,ms,internal_arithmetic_mean,reported,,encrypt batch,pfe_e8_m16_r1.stdout.log
pfe,1/8,16,1,0,5,764,234,764,512,511,512,512,12,encryption_per_item,0.081,0.081,ms/item,internal_arithmetic_mean,reported,16,encrypt batch,pfe_e8_m16_r1.stdout.log
pfe,1/8,16,1,0,5,764,234,764,512,511,512,512,12,fixed_kernel,9.819,9.819,ms,internal_arithmetic_mean,reported,,fixed PFE FFT/G2 kernel,pfe_e8_m16_r1.stdout.log
pfe,1/8,16,1,0,5,764,234,764,512,511,512,512,12,validation,0.48,0.48,ms,internal_arithmetic_mean,reported,,ctxtCheck(B),pfe_e8_m16_r1.stdout.log
pfe,1/8,16,1,0,5,764,234,764,512,511,512,512,12,validation_per_item,0.03,0.03,ms/item,internal_arithmetic_mean,reported,16,ctxtCheck(B),pfe_e8_m16_r1.stdout.log
pfe,1/8,16,1,0,5,764,234,764,512,511,512,512,12,precompute,7.722,7.722,ms,internal_arithmetic_mean,reported,,precompute(B),pfe_e8_m16_r1.stdout.log
pfe,1/8,16,1,0,5,764,234,764,512,511,512,512,12,precompute_per_item,0.483,0.483,ms/item,internal_arithmetic_mean,reported,16,precompute(B),pfe_e8_m16_r1.stdout.log
pfe,1/8,16,1,0,5,764,234,764,512,511,512,512,12,predec_one_virtual_server,0.169,0.169,ms,internal_arithmetic_mean,reported,,"partialDecrypt(B), one server",pfe_e8_m16_r1.stdout.log
pfe,1/8,16,1,0,5,764,234,764,512,511,512,512,12,predec_one_virtual_server_per_item,0.011,0.011,ms/item,internal_arithmetic_mean,reported,16,"partialDecrypt(B), one server",pfe_e8_m16_r1.stdout.log
pfe,1/8,16,1,0,5,764,234,764,512,511,512,512,12,combine,11.133,11.133,ms,internal_arithmetic_mean,reported,,combine(n),pfe_e8_m16_r1.stdout.log
pfe,1/8,16,1,0,5,764,234,764,512,511,512,512,12,combine_per_item,0.022,0.022,ms/item,internal_arithmetic_mean,reported,512,combine(n),pfe_e8_m16_r1.stdout.log
pfe,1/8,16,1,0,5,764,234,764,512,511,512,512,12,server_check,2.522,2.522,ms,internal_arithmetic_mean,reported,,"serverCheck(B,n)",pfe_e8_m16_r1.stdout.log
pfe,1/8,16,1,0,5,764,234,764,512,511,512,512,12,server_check_per_item,0.158,0.158,ms/item,internal_arithmetic_mean,reported,16,"serverCheck(B,n)",pfe_e8_m16_r1.stdout.log
pfe,1/8,16,1,0,5,764,234,764,512,511,512,512,12,opening,2.139,2.139,ms,internal_arithmetic_mean,reported,,"open(B), fused 3-pair path",pfe_e8_m16_r1.stdout.log
pfe,1/8,16,1,0,5,764,234,764,512,511,512,512,12,opening_per_item,0.134,0.134,ms/item,internal_arithmetic_mean,reported,16,"open(B), fused 3-pair path",pfe_e8_m16_r1.stdout.log
pfe,1/8,16,1,0,5,764,234,764,512,511,512,512,12,core_one_server_total,21.163,21.163,ms,internal_arithmetic_mean,reported,,core sequential total,pfe_e8_m16_r1.stdout.log
pfe,1/8,16,1,0,5,764,234,764,512,511,512,512,12,robust_one_server_total,24.166,24.166,ms,internal_arithmetic_mean,reported,,robust sequential total,pfe_e8_m16_r1.stdout.log
pfe,1/8,16,1,0,5,764,234,764,512,511,512,512,12,all_virtual_shares_derived,86.528,86.528,ms,internal_arithmetic_mean,q_times_rounded_one_server_mean,,,pfe_e8_m16_r1.stdout.log
pfe,1/8,16,1,0,5,764,234,764,512,511,512,512,12,all_local_core_derived,107.52199999999999,107.52199999999999,ms,internal_arithmetic_mean,sum_with_q_times_rounded_one_server_mean,,,pfe_e8_m16_r1.stdout.log
pfe,1/8,16,1,0,5,764,234,764,512,511,512,512,12,all_local_robust_derived,110.524,110.524,ms,internal_arithmetic_mean,sum_with_q_times_rounded_one_server_mean,,,pfe_e8_m16_r1.stdout.log
btx,1/8,16,1,0,5,764,234,764,512,511,512,512,12,setup,142.822,142.822,ms,internal_arithmetic_mean,reported,,trusted key generation,btx_e8_m16_r1.stdout.log
btx,1/8,16,1,0,5,764,234,764,512,511,512,512,12,encryption,8.411,8.411,ms,internal_arithmetic_mean,reported,,encrypt batch,btx_e8_m16_r1.stdout.log
btx,1/8,16,1,0,5,764,234,764,512,511,512,512,12,encryption_per_item,0.526,0.526,ms/item,internal_arithmetic_mean,reported,16,encrypt batch,btx_e8_m16_r1.stdout.log
btx,1/8,16,1,0,5,764,234,764,512,511,512,512,12,fixed_kernel,6.544,6.544,ms,internal_arithmetic_mean,reported,,fixed G2 FFT kernel,btx_e8_m16_r1.stdout.log
btx,1/8,16,1,0,5,764,234,764,512,511,512,512,12,validation,0.352,0.352,ms,internal_arithmetic_mean,reported,,ctxtCheck(B),btx_e8_m16_r1.stdout.log
btx,1/8,16,1,0,5,764,234,764,512,511,512,512,12,validation_per_item,0.022,0.022,ms/item,internal_arithmetic_mean,reported,16,ctxtCheck(B),btx_e8_m16_r1.stdout.log
btx,1/8,16,1,0,5,764,234,764,512,511,512,512,12,precompute,8.583,8.583,ms,internal_arithmetic_mean,reported,,precompute(B),btx_e8_m16_r1.stdout.log
btx,1/8,16,1,0,5,764,234,764,512,511,512,512,12,precompute_per_item,0.536,0.536,ms/item,internal_arithmetic_mean,reported,16,precompute(B),btx_e8_m16_r1.stdout.log
btx,1/8,16,1,0,5,764,234,764,512,511,512,512,12,predec_one_virtual_server,0.191,0.191,ms,internal_arithmetic_mean,reported,,"partialDecrypt(B), one server",btx_e8_m16_r1.stdout.log
btx,1/8,16,1,0,5,764,234,764,512,511,512,512,12,predec_one_virtual_server_per_item,0.012,0.012,ms/item,internal_arithmetic_mean,reported,16,"partialDecrypt(B), one server",btx_e8_m16_r1.stdout.log
btx,1/8,16,1,0,5,764,234,764,512,511,512,512,12,combine,11.082,11.082,ms,internal_arithmetic_mean,reported,,combine(n),btx_e8_m16_r1.stdout.log
btx,1/8,16,1,0,5,764,234,764,512,511,512,512,12,combine_per_item,0.022,0.022,ms/item,internal_arithmetic_mean,reported,512,combine(n),btx_e8_m16_r1.stdout.log
btx,1/8,16,1,0,5,764,234,764,512,511,512,512,12,server_check,3.138,3.138,ms,internal_arithmetic_mean,reported,,"serverCheck(B,n)",btx_e8_m16_r1.stdout.log
btx,1/8,16,1,0,5,764,234,764,512,511,512,512,12,server_check_per_item,0.196,0.196,ms/item,internal_arithmetic_mean,reported,16,"serverCheck(B,n)",btx_e8_m16_r1.stdout.log
btx,1/8,16,1,0,5,764,234,764,512,511,512,512,12,opening,0.804,0.804,ms,internal_arithmetic_mean,reported,,open(B),btx_e8_m16_r1.stdout.log
btx,1/8,16,1,0,5,764,234,764,512,511,512,512,12,opening_per_item,0.05,0.05,ms/item,internal_arithmetic_mean,reported,16,open(B),btx_e8_m16_r1.stdout.log
btx,1/8,16,1,0,5,764,234,764,512,511,512,512,12,core_one_server_total,20.661,20.661,ms,internal_arithmetic_mean,reported,,core sequential total,btx_e8_m16_r1.stdout.log
btx,1/8,16,1,0,5,764,234,764,512,511,512,512,12,robust_one_server_total,24.151,24.151,ms,internal_arithmetic_mean,reported,,robust sequential total,btx_e8_m16_r1.stdout.log
btx,1/8,16,1,0,5,764,234,764,512,511,512,512,12,all_virtual_shares_derived,97.792,97.792,ms,internal_arithmetic_mean,q_times_rounded_one_server_mean,,,btx_e8_m16_r1.stdout.log
btx,1/8,16,1,0,5,764,234,764,512,511,512,512,12,all_local_core_derived,118.261,118.261,ms,internal_arithmetic_mean,sum_with_q_times_rounded_one_server_mean,,,btx_e8_m16_r1.stdout.log
btx,1/8,16,1,0,5,764,234,764,512,511,512,512,12,all_local_robust_derived,121.751,121.751,ms,internal_arithmetic_mean,sum_with_q_times_rounded_one_server_mean,,,btx_e8_m16_r1.stdout.log
beat,1/8,16,1,1,1,234,234,764,512,511,59,515,12,crs_setup,0.701,0.701,ms,single_observation,reported,,powers-of-tau CRS setup,beat_e8_m16_r1_s001.stdout.log
beat,1/8,16,1,1,1,234,234,764,512,511,59,515,12,setup,145.173,145.173,ms,single_observation,reported,,weighted master key generation,beat_e8_m16_r1_s001.stdout.log
beat,1/8,16,1,1,1,234,234,764,512,511,59,515,12,fixed_kernel,6.434,6.434,ms,single_observation,reported,,fixed G2 FFT kernel,beat_e8_m16_r1_s001.stdout.log
beat,1/8,16,1,1,1,234,234,764,512,511,59,515,12,encryption,1.42,1.42,ms,single_observation,reported,,encrypt batch,beat_e8_m16_r1_s001.stdout.log
beat,1/8,16,1,1,1,234,234,764,512,511,59,515,12,encryption_per_item,0.089,0.089,ms/item,single_observation,reported,16,encrypt batch,beat_e8_m16_r1_s001.stdout.log
beat,1/8,16,1,1,1,234,234,764,512,511,59,515,12,validation,0.482,0.482,ms,single_observation,reported,,client proof validation,beat_e8_m16_r1_s001.stdout.log
beat,1/8,16,1,1,1,234,234,764,512,511,59,515,12,validation_per_item,0.03,0.03,ms/item,single_observation,reported,16,client proof validation,beat_e8_m16_r1_s001.stdout.log
beat,1/8,16,1,1,1,234,234,764,512,511,59,515,12,predec_all_validators,3.657,3.657,ms,single_observation,reported,,"partial decryptions, all N parties",beat_e8_m16_r1_s001.stdout.log
beat,1/8,16,1,1,1,234,234,764,512,511,59,515,12,predec_all_validators_per_item,0.016,0.016,ms/item,single_observation,reported,234,"partial decryptions, all N parties",beat_e8_m16_r1_s001.stdout.log
beat,1/8,16,1,1,1,234,234,764,512,511,59,515,12,acceptance,4.782,4.782,ms,single_observation,reported,,all-N server proofs / select V,beat_e8_m16_r1_s001.stdout.log
beat,1/8,16,1,1,1,234,234,764,512,511,59,515,12,preparation,59.079,59.079,ms,single_observation,reported,,committee interpolation / G2 MSMs,beat_e8_m16_r1_s001.stdout.log
beat,1/8,16,1,1,1,234,234,764,512,511,59,515,12,precompute,8.606,8.606,ms,single_observation,reported,,cross-term precompute,beat_e8_m16_r1_s001.stdout.log
beat,1/8,16,1,1,1,234,234,764,512,511,59,515,12,precompute_per_item,0.538,0.538,ms/item,single_observation,reported,16,cross-term precompute,beat_e8_m16_r1_s001.stdout.log
beat,1/8,16,1,1,1,234,234,764,512,511,59,515,12,opening,14.068,14.068,ms,single_observation,reported,,weighted PRF opening / unmask,beat_e8_m16_r1_s001.stdout.log
beat,1/8,16,1,1,1,234,234,764,512,511,59,515,12,opening_per_item,0.879,0.879,ms/item,single_observation,reported,16,weighted PRF opening / unmask,beat_e8_m16_r1_s001.stdout.log
beat,1/8,16,1,1,1,234,234,764,512,511,59,515,12,cold_without_validation,90.192,90.192,ms,single_observation,reported,,post-validation cold-committee path,beat_e8_m16_r1_s001.stdout.log
beat,1/8,16,1,1,1,234,234,764,512,511,59,515,12,cached_without_validation,31.112,31.112,ms,single_observation,reported,,post-validation cached-committee path,beat_e8_m16_r1_s001.stdout.log
beat,1/8,16,1,1,1,234,234,764,512,511,59,515,12,cold_with_validation,90.674,90.674,ms,single_observation,reported,,full cold decryption incl client checks,beat_e8_m16_r1_s001.stdout.log
beat,1/8,16,1,1,1,234,234,764,512,511,59,515,12,cached_with_validation,31.595,31.595,ms,single_observation,reported,,full cached decryption incl client checks,beat_e8_m16_r1_s001.stdout.log
