scheme,error,total,round,sample,samples,N,source_N,W,q,t,selected_parties,selected_weight,threads,phase,value,ms,unit,statistic,origin,denominator,source_label,log
wpfe,1/8,16,1,0,1,234,234,764,512,511,59,515,12,setup,284.206,284.206,ms,single_observation,reported,,trusted weighted key generation,wpfe_e8_m16_r1.stdout.log
wpfe,1/8,16,1,0,1,234,234,764,512,511,59,515,12,encryption,1.093,1.093,ms,single_observation,reported,,encrypt batch,wpfe_e8_m16_r1.stdout.log
wpfe,1/8,16,1,0,1,234,234,764,512,511,59,515,12,encryption_per_item,0.068,0.068,ms/item,single_observation,reported,16,encrypt batch,wpfe_e8_m16_r1.stdout.log
wpfe,1/8,16,1,0,1,234,234,764,512,511,59,515,12,fixed_kernel,0.013,0.013,ms,single_observation,reported,,fixed Cauchy FFT kernel,wpfe_e8_m16_r1.stdout.log
wpfe,1/8,16,1,0,15,234,234,764,512,511,59,515,12,validation,0.874,0.874,ms,internal_arithmetic_mean,reported,,"ctxtCheck(B), batched client proofs",wpfe_e8_m16_r1.stdout.log
wpfe,1/8,16,1,0,15,234,234,764,512,511,59,515,12,validation_per_item,0.055,0.055,ms/item,internal_arithmetic_mean,reported,16,"ctxtCheck(B), batched client proofs",wpfe_e8_m16_r1.stdout.log
wpfe,1/8,16,1,0,15,234,234,764,512,511,59,515,12,predec_selected,2.301,2.301,ms,internal_arithmetic_mean,reported,,"PreDec(B), all selected parties",wpfe_e8_m16_r1.stdout.log
wpfe,1/8,16,1,0,15,234,234,764,512,511,59,515,12,predec_selected_per_item,0.039,0.039,ms/item,internal_arithmetic_mean,reported,59,"PreDec(B), all selected parties",wpfe_e8_m16_r1.stdout.log
wpfe,1/8,16,1,0,15,234,234,764,512,511,59,515,12,acceptance,9.797,9.797,ms,internal_arithmetic_mean,reported,,batched response acceptance,wpfe_e8_m16_r1.stdout.log
wpfe,1/8,16,1,0,15,234,234,764,512,511,59,515,12,acceptance_per_item,0.166,0.166,ms/item,internal_arithmetic_mean,reported,59,batched response acceptance,wpfe_e8_m16_r1.stdout.log
wpfe,1/8,16,1,0,15,234,234,764,512,511,59,515,12,preparation,88.712,88.712,ms,internal_arithmetic_mean,reported,,committee interpolation / G2 MSMs,wpfe_e8_m16_r1.stdout.log
wpfe,1/8,16,1,0,15,234,234,764,512,511,59,515,12,preparation_per_item,5.545,5.545,ms/item,internal_arithmetic_mean,reported,16,committee interpolation / G2 MSMs,wpfe_e8_m16_r1.stdout.log
wpfe,1/8,16,1,0,15,234,234,764,512,511,59,515,12,precompute,3.338,3.338,ms,internal_arithmetic_mean,reported,,ciphertext-dependent Cauchy precompute,wpfe_e8_m16_r1.stdout.log
wpfe,1/8,16,1,0,15,234,234,764,512,511,59,515,12,precompute_per_item,0.209,0.209,ms/item,internal_arithmetic_mean,reported,16,ciphertext-dependent Cauchy precompute,wpfe_e8_m16_r1.stdout.log
wpfe,1/8,16,1,0,15,234,234,764,512,511,59,515,12,opening,14.91,14.91,ms,internal_arithmetic_mean,reported,,weighted opening / unmask,wpfe_e8_m16_r1.stdout.log
wpfe,1/8,16,1,0,15,234,234,764,512,511,59,515,12,opening_per_item,0.932,0.932,ms/item,internal_arithmetic_mean,reported,16,weighted opening / unmask,wpfe_e8_m16_r1.stdout.log
wpfe,1/8,16,1,0,15,234,234,764,512,511,59,515,12,cold_with_validation,119.932,119.932,ms,internal_arithmetic_mean,reported,,full cold-committee path incl checks,wpfe_e8_m16_r1.stdout.log
wpfe,1/8,16,1,0,15,234,234,764,512,511,59,515,12,cached_with_validation,31.22,31.22,ms,internal_arithmetic_mean,reported,,full cached-committee path incl checks,wpfe_e8_m16_r1.stdout.log
wpfe,1/8,16,1,0,15,234,234,764,512,511,59,515,12,dec_open,18.248,18.248,ms,internal_arithmetic_mean,sum_of_rounded_phase_means,,,wpfe_e8_m16_r1.stdout.log
wpfe,1/8,16,1,0,15,234,234,764,512,511,59,515,12,dec_total_without_validation,119.058,119.058,ms,internal_arithmetic_mean,sum_of_rounded_phase_means,,,wpfe_e8_m16_r1.stdout.log
wpfe,1/8,16,1,0,15,234,234,764,512,511,59,515,12,dec_cached_without_validation,30.346000000000004,30.346000000000004,ms,internal_arithmetic_mean,sum_of_rounded_phase_means,,,wpfe_e8_m16_r1.stdout.log
wpfe,1/8,16,1,0,1,234,234,764,512,511,59,515,12,key_core_bytes,2347104,,bytes,single_observation,reported,,core D1/D2/global material,wpfe_e8_m16_r1.stdout.log
wpfe,1/8,16,1,0,1,234,234,764,512,511,59,515,12,key_verification_bytes,359424,,bytes,single_observation,reported,,party verification keys,wpfe_e8_m16_r1.stdout.log
wpfe,1/8,16,1,0,1,234,234,764,512,511,59,515,12,key_decryption_total_bytes,2706528,,bytes,single_observation,reported,,public decryption key,wpfe_e8_m16_r1.stdout.log
wpfe,1/16,16,1,0,1,419,419,1580,1060,1059,76,1062,12,setup,567.887,567.887,ms,single_observation,reported,,trusted weighted key generation,wpfe_e16_m16_r1.stdout.log
wpfe,1/16,16,1,0,1,419,419,1580,1060,1059,76,1062,12,encryption,1.258,1.258,ms,single_observation,reported,,encrypt batch,wpfe_e16_m16_r1.stdout.log
wpfe,1/16,16,1,0,1,419,419,1580,1060,1059,76,1062,12,encryption_per_item,0.079,0.079,ms/item,single_observation,reported,16,encrypt batch,wpfe_e16_m16_r1.stdout.log
wpfe,1/16,16,1,0,1,419,419,1580,1060,1059,76,1062,12,fixed_kernel,0.012,0.012,ms,single_observation,reported,,fixed Cauchy FFT kernel,wpfe_e16_m16_r1.stdout.log
wpfe,1/16,16,1,0,15,419,419,1580,1060,1059,76,1062,12,validation,0.869,0.869,ms,internal_arithmetic_mean,reported,,"ctxtCheck(B), batched client proofs",wpfe_e16_m16_r1.stdout.log
wpfe,1/16,16,1,0,15,419,419,1580,1060,1059,76,1062,12,validation_per_item,0.054,0.054,ms/item,internal_arithmetic_mean,reported,16,"ctxtCheck(B), batched client proofs",wpfe_e16_m16_r1.stdout.log
wpfe,1/16,16,1,0,15,419,419,1580,1060,1059,76,1062,12,predec_selected,3.154,3.154,ms,internal_arithmetic_mean,reported,,"PreDec(B), all selected parties",wpfe_e16_m16_r1.stdout.log
wpfe,1/16,16,1,0,15,419,419,1580,1060,1059,76,1062,12,predec_selected_per_item,0.042,0.042,ms/item,internal_arithmetic_mean,reported,76,"PreDec(B), all selected parties",wpfe_e16_m16_r1.stdout.log
wpfe,1/16,16,1,0,15,419,419,1580,1060,1059,76,1062,12,acceptance,11.093,11.093,ms,internal_arithmetic_mean,reported,,batched response acceptance,wpfe_e16_m16_r1.stdout.log
wpfe,1/16,16,1,0,15,419,419,1580,1060,1059,76,1062,12,acceptance_per_item,0.146,0.146,ms/item,internal_arithmetic_mean,reported,76,batched response acceptance,wpfe_e16_m16_r1.stdout.log
wpfe,1/16,16,1,0,15,419,419,1580,1060,1059,76,1062,12,preparation,162.572,162.572,ms,internal_arithmetic_mean,reported,,committee interpolation / G2 MSMs,wpfe_e16_m16_r1.stdout.log
wpfe,1/16,16,1,0,15,419,419,1580,1060,1059,76,1062,12,preparation_per_item,10.161,10.161,ms/item,internal_arithmetic_mean,reported,16,committee interpolation / G2 MSMs,wpfe_e16_m16_r1.stdout.log
wpfe,1/16,16,1,0,15,419,419,1580,1060,1059,76,1062,12,precompute,3.346,3.346,ms,internal_arithmetic_mean,reported,,ciphertext-dependent Cauchy precompute,wpfe_e16_m16_r1.stdout.log
wpfe,1/16,16,1,0,15,419,419,1580,1060,1059,76,1062,12,precompute_per_item,0.209,0.209,ms/item,internal_arithmetic_mean,reported,16,ciphertext-dependent Cauchy precompute,wpfe_e16_m16_r1.stdout.log
wpfe,1/16,16,1,0,15,419,419,1580,1060,1059,76,1062,12,opening,18.882,18.882,ms,internal_arithmetic_mean,reported,,weighted opening / unmask,wpfe_e16_m16_r1.stdout.log
wpfe,1/16,16,1,0,15,419,419,1580,1060,1059,76,1062,12,opening_per_item,1.18,1.18,ms/item,internal_arithmetic_mean,reported,16,weighted opening / unmask,wpfe_e16_m16_r1.stdout.log
wpfe,1/16,16,1,0,15,419,419,1580,1060,1059,76,1062,12,cold_with_validation,199.916,199.916,ms,internal_arithmetic_mean,reported,,full cold-committee path incl checks,wpfe_e16_m16_r1.stdout.log
wpfe,1/16,16,1,0,15,419,419,1580,1060,1059,76,1062,12,cached_with_validation,37.344,37.344,ms,internal_arithmetic_mean,reported,,full cached-committee path incl checks,wpfe_e16_m16_r1.stdout.log
wpfe,1/16,16,1,0,15,419,419,1580,1060,1059,76,1062,12,dec_open,22.228,22.228,ms,internal_arithmetic_mean,sum_of_rounded_phase_means,,,wpfe_e16_m16_r1.stdout.log
wpfe,1/16,16,1,0,15,419,419,1580,1060,1059,76,1062,12,dec_total_without_validation,199.047,199.047,ms,internal_arithmetic_mean,sum_of_rounded_phase_means,,,wpfe_e16_m16_r1.stdout.log
wpfe,1/16,16,1,0,15,419,419,1580,1060,1059,76,1062,12,dec_cached_without_validation,36.474999999999994,36.474999999999994,ms,internal_arithmetic_mean,sum_of_rounded_phase_means,,,wpfe_e16_m16_r1.stdout.log
wpfe,1/16,16,1,0,1,419,419,1580,1060,1059,76,1062,12,key_core_bytes,4853856,,bytes,single_observation,reported,,core D1/D2/global material,wpfe_e16_m16_r1.stdout.log
wpfe,1/16,16,1,0,1,419,419,1580,1060,1059,76,1062,12,key_verification_bytes,643584,,bytes,single_observation,reported,,party verification keys,wpfe_e16_m16_r1.stdout.log
wpfe,1/16,16,1,0,1,419,419,1580,1060,1059,76,1062,12,key_decryption_total_bytes,5497440,,bytes,single_observation,reported,,public decryption key,wpfe_e16_m16_r1.stdout.log
wpfe,1/32,16,1,0,1,598,598,3063,2044,2043,79,2046,12,setup,1100.933,1100.933,ms,single_observation,reported,,trusted weighted key generation,wpfe_e32_m16_r1.stdout.log
wpfe,1/32,16,1,0,1,598,598,3063,2044,2043,79,2046,12,encryption,1.145,1.145,ms,single_observation,reported,,encrypt batch,wpfe_e32_m16_r1.stdout.log
wpfe,1/32,16,1,0,1,598,598,3063,2044,2043,79,2046,12,encryption_per_item,0.072,0.072,ms/item,single_observation,reported,16,encrypt batch,wpfe_e32_m16_r1.stdout.log
wpfe,1/32,16,1,0,1,598,598,3063,2044,2043,79,2046,12,fixed_kernel,0.012,0.012,ms,single_observation,reported,,fixed Cauchy FFT kernel,wpfe_e32_m16_r1.stdout.log
wpfe,1/32,16,1,0,15,598,598,3063,2044,2043,79,2046,12,validation,0.865,0.865,ms,internal_arithmetic_mean,reported,,"ctxtCheck(B), batched client proofs",wpfe_e32_m16_r1.stdout.log
wpfe,1/32,16,1,0,15,598,598,3063,2044,2043,79,2046,12,validation_per_item,0.054,0.054,ms/item,internal_arithmetic_mean,reported,16,"ctxtCheck(B), batched client proofs",wpfe_e32_m16_r1.stdout.log
wpfe,1/32,16,1,0,15,598,598,3063,2044,2043,79,2046,12,predec_selected,3.211,3.211,ms,internal_arithmetic_mean,reported,,"PreDec(B), all selected parties",wpfe_e32_m16_r1.stdout.log
wpfe,1/32,16,1,0,15,598,598,3063,2044,2043,79,2046,12,predec_selected_per_item,0.041,0.041,ms/item,internal_arithmetic_mean,reported,79,"PreDec(B), all selected parties",wpfe_e32_m16_r1.stdout.log
wpfe,1/32,16,1,0,15,598,598,3063,2044,2043,79,2046,12,acceptance,11.31,11.31,ms,internal_arithmetic_mean,reported,,batched response acceptance,wpfe_e32_m16_r1.stdout.log
wpfe,1/32,16,1,0,15,598,598,3063,2044,2043,79,2046,12,acceptance_per_item,0.143,0.143,ms/item,internal_arithmetic_mean,reported,79,batched response acceptance,wpfe_e32_m16_r1.stdout.log
wpfe,1/32,16,1,0,15,598,598,3063,2044,2043,79,2046,12,preparation,273.894,273.894,ms,internal_arithmetic_mean,reported,,committee interpolation / G2 MSMs,wpfe_e32_m16_r1.stdout.log
wpfe,1/32,16,1,0,15,598,598,3063,2044,2043,79,2046,12,preparation_per_item,17.118,17.118,ms/item,internal_arithmetic_mean,reported,16,committee interpolation / G2 MSMs,wpfe_e32_m16_r1.stdout.log
wpfe,1/32,16,1,0,15,598,598,3063,2044,2043,79,2046,12,precompute,3.339,3.339,ms,internal_arithmetic_mean,reported,,ciphertext-dependent Cauchy precompute,wpfe_e32_m16_r1.stdout.log
wpfe,1/32,16,1,0,15,598,598,3063,2044,2043,79,2046,12,precompute_per_item,0.209,0.209,ms/item,internal_arithmetic_mean,reported,16,ciphertext-dependent Cauchy precompute,wpfe_e32_m16_r1.stdout.log
wpfe,1/32,16,1,0,15,598,598,3063,2044,2043,79,2046,12,opening,19.479,19.479,ms,internal_arithmetic_mean,reported,,weighted opening / unmask,wpfe_e32_m16_r1.stdout.log
wpfe,1/32,16,1,0,15,598,598,3063,2044,2043,79,2046,12,opening_per_item,1.217,1.217,ms/item,internal_arithmetic_mean,reported,16,weighted opening / unmask,wpfe_e32_m16_r1.stdout.log
wpfe,1/32,16,1,0,15,598,598,3063,2044,2043,79,2046,12,cold_with_validation,312.097,312.097,ms,internal_arithmetic_mean,reported,,full cold-committee path incl checks,wpfe_e32_m16_r1.stdout.log
wpfe,1/32,16,1,0,15,598,598,3063,2044,2043,79,2046,12,cached_with_validation,38.204,38.204,ms,internal_arithmetic_mean,reported,,full cached-committee path incl checks,wpfe_e32_m16_r1.stdout.log
wpfe,1/32,16,1,0,15,598,598,3063,2044,2043,79,2046,12,dec_open,22.817999999999998,22.817999999999998,ms,internal_arithmetic_mean,sum_of_rounded_phase_means,,,wpfe_e32_m16_r1.stdout.log
wpfe,1/32,16,1,0,15,598,598,3063,2044,2043,79,2046,12,dec_total_without_validation,311.233,311.233,ms,internal_arithmetic_mean,sum_of_rounded_phase_means,,,wpfe_e32_m16_r1.stdout.log
wpfe,1/32,16,1,0,15,598,598,3063,2044,2043,79,2046,12,dec_cached_without_validation,37.339,37.339,ms,internal_arithmetic_mean,sum_of_rounded_phase_means,,,wpfe_e32_m16_r1.stdout.log
wpfe,1/32,16,1,0,1,598,598,3063,2044,2043,79,2046,12,key_core_bytes,9409632,,bytes,single_observation,reported,,core D1/D2/global material,wpfe_e32_m16_r1.stdout.log
wpfe,1/32,16,1,0,1,598,598,3063,2044,2043,79,2046,12,key_verification_bytes,918528,,bytes,single_observation,reported,,party verification keys,wpfe_e32_m16_r1.stdout.log
wpfe,1/32,16,1,0,1,598,598,3063,2044,2043,79,2046,12,key_decryption_total_bytes,10328160,,bytes,single_observation,reported,,public decryption key,wpfe_e32_m16_r1.stdout.log
wpfe,1/64,16,1,0,1,688,688,6489,4327,4326,79,4333,12,setup,2172.006,2172.006,ms,single_observation,reported,,trusted weighted key generation,wpfe_e64_m16_r1.stdout.log
wpfe,1/64,16,1,0,1,688,688,6489,4327,4326,79,4333,12,encryption,1.428,1.428,ms,single_observation,reported,,encrypt batch,wpfe_e64_m16_r1.stdout.log
