curve,simd,orientation,total,batch,setup,cache,threads,parties,total_weight,required_weight,selected_parties,accepted_weight,sample,phase,milliseconds,avx_msm,avx_each
bls12_381,avx512,swapped,16,2,16,cold,12,234,764,512,59,515,0,encryption,1.099131,0,0
bls12_381,avx512,swapped,16,2,16,cold,12,234,764,512,59,515,0,validation,1.013833,0,0
bls12_381,avx512,swapped,16,2,16,cold,12,234,764,512,59,515,0,share_generation,4.685590,0,0
bls12_381,avx512,swapped,16,2,16,cold,12,234,764,512,59,515,0,acceptance,7.284442,0,0
bls12_381,avx512,swapped,16,2,16,cold,12,234,764,512,59,515,0,preparation,8.163750,1,0
bls12_381,avx512,swapped,16,2,16,cold,12,234,764,512,59,515,0,precompute,1.317501,0,0
bls12_381,avx512,swapped,16,2,16,cold,12,234,764,512,59,515,0,opening,12.817616,0,0
bls12_381,avx512,swapped,16,2,16,cold,12,234,764,512,59,515,0,combiner,29.583489,1,0
bls12_381,avx512,swapped,16,2,16,cold,12,234,764,512,59,515,0,decryption_total,34.269159,1,0
bls12_381,avx512,swapped,16,2,16,cold,12,234,764,512,59,515,0,end_to_end,36.382283,1,0
bls12_381,avx512,swapped,16,2,16,cold,12,234,764,512,59,515,1,encryption,1.108384,0,0
bls12_381,avx512,swapped,16,2,16,cold,12,234,764,512,59,515,1,validation,1.018930,0,0
bls12_381,avx512,swapped,16,2,16,cold,12,234,764,512,59,515,1,share_generation,4.688004,0,0
bls12_381,avx512,swapped,16,2,16,cold,12,234,764,512,59,515,1,acceptance,7.296418,0,0
bls12_381,avx512,swapped,16,2,16,cold,12,234,764,512,59,515,1,preparation,8.167014,1,0
bls12_381,avx512,swapped,16,2,16,cold,12,234,764,512,59,515,1,precompute,1.333713,0,0
bls12_381,avx512,swapped,16,2,16,cold,12,234,764,512,59,515,1,opening,12.846196,0,0
bls12_381,avx512,swapped,16,2,16,cold,12,234,764,512,59,515,1,combiner,29.643482,1,0
bls12_381,avx512,swapped,16,2,16,cold,12,234,764,512,59,515,1,decryption_total,34.331526,1,0
bls12_381,avx512,swapped,16,2,16,cold,12,234,764,512,59,515,1,end_to_end,36.458950,1,0
