curve,simd,orientation,total,batch,setup,cache,threads,parties,total_weight,required_weight,selected_parties,accepted_weight,sample,phase,milliseconds,avx_msm,avx_each
bn254,off,normal,16,2,16,cold,12,688,6489,4327,79,4333,0,encryption,0.707232,0,0
bn254,off,normal,16,2,16,cold,12,688,6489,4327,79,4333,0,validation,0.685142,0,0
bn254,off,normal,16,2,16,cold,12,688,6489,4327,79,4333,0,share_generation,2.096972,0,0
bn254,off,normal,16,2,16,cold,12,688,6489,4327,79,4333,0,acceptance,7.945971,0,0
bn254,off,normal,16,2,16,cold,12,688,6489,4327,79,4333,0,preparation,82.519109,0,0
bn254,off,normal,16,2,16,cold,12,688,6489,4327,79,4333,0,precompute,1.828694,0,0
bn254,off,normal,16,2,16,cold,12,688,6489,4327,79,4333,0,opening,12.386293,0,0
bn254,off,normal,16,2,16,cold,12,688,6489,4327,79,4333,0,combiner,104.680197,0,0
bn254,off,normal,16,2,16,cold,12,688,6489,4327,79,4333,0,decryption_total,106.777249,0,0
bn254,off,normal,16,2,16,cold,12,688,6489,4327,79,4333,0,end_to_end,108.169833,0,0
bn254,off,normal,16,2,16,cold,12,688,6489,4327,79,4333,1,encryption,0.691921,0,0
bn254,off,normal,16,2,16,cold,12,688,6489,4327,79,4333,1,validation,0.688096,0,0
bn254,off,normal,16,2,16,cold,12,688,6489,4327,79,4333,1,share_generation,2.098915,0,0
bn254,off,normal,16,2,16,cold,12,688,6489,4327,79,4333,1,acceptance,7.907197,0,0
bn254,off,normal,16,2,16,cold,12,688,6489,4327,79,4333,1,preparation,82.688002,0,0
bn254,off,normal,16,2,16,cold,12,688,6489,4327,79,4333,1,precompute,1.709970,0,0
bn254,off,normal,16,2,16,cold,12,688,6489,4327,79,4333,1,opening,12.386253,0,0
bn254,off,normal,16,2,16,cold,12,688,6489,4327,79,4333,1,combiner,104.691602,0,0
bn254,off,normal,16,2,16,cold,12,688,6489,4327,79,4333,1,decryption_total,106.790597,0,0
bn254,off,normal,16,2,16,cold,12,688,6489,4327,79,4333,1,end_to_end,108.170864,0,0
bn254,off,normal,16,2,16,cold,12,688,6489,4327,79,4333,2,encryption,0.687205,0,0
bn254,off,normal,16,2,16,cold,12,688,6489,4327,79,4333,2,validation,0.680685,0,0
bn254,off,normal,16,2,16,cold,12,688,6489,4327,79,4333,2,share_generation,2.095520,0,0
bn254,off,normal,16,2,16,cold,12,688,6489,4327,79,4333,2,acceptance,7.925752,0,0
bn254,off,normal,16,2,16,cold,12,688,6489,4327,79,4333,2,preparation,82.229192,0,0
bn254,off,normal,16,2,16,cold,12,688,6489,4327,79,4333,2,precompute,1.334664,0,0
bn254,off,normal,16,2,16,cold,12,688,6489,4327,79,4333,2,opening,12.382778,0,0
bn254,off,normal,16,2,16,cold,12,688,6489,4327,79,4333,2,combiner,103.872546,0,0
bn254,off,normal,16,2,16,cold,12,688,6489,4327,79,4333,2,decryption_total,105.968157,0,0
bn254,off,normal,16,2,16,cold,12,688,6489,4327,79,4333,2,end_to_end,107.336367,0,0
bn254,off,normal,16,2,16,cold,12,688,6489,4327,79,4333,3,encryption,0.697669,0,0
bn254,off,normal,16,2,16,cold,12,688,6489,4327,79,4333,3,validation,0.719219,0,0
bn254,off,normal,16,2,16,cold,12,688,6489,4327,79,4333,3,share_generation,2.100136,0,0
bn254,off,normal,16,2,16,cold,12,688,6489,4327,79,4333,3,acceptance,7.961031,0,0
bn254,off,normal,16,2,16,cold,12,688,6489,4327,79,4333,3,preparation,81.764232,0,0
bn254,off,normal,16,2,16,cold,12,688,6489,4327,79,4333,3,precompute,1.434211,0,0
bn254,off,normal,16,2,16,cold,12,688,6489,4327,79,4333,3,opening,12.394344,0,0
bn254,off,normal,16,2,16,cold,12,688,6489,4327,79,4333,3,combiner,103.553979,0,0
bn254,off,normal,16,2,16,cold,12,688,6489,4327,79,4333,3,decryption_total,105.654195,0,0
bn254,off,normal,16,2,16,cold,12,688,6489,4327,79,4333,3,end_to_end,107.071223,0,0
bn254,off,normal,16,2,16,cold,12,688,6489,4327,79,4333,4,encryption,0.687685,0,0
bn254,off,normal,16,2,16,cold,12,688,6489,4327,79,4333,4,validation,0.706871,0,0
bn254,off,normal,16,2,16,cold,12,688,6489,4327,79,4333,4,share_generation,2.079709,0,0
bn254,off,normal,16,2,16,cold,12,688,6489,4327,79,4333,4,acceptance,7.911463,0,0
