curve,simd,orientation,total,batch,setup,cache,threads,parties,total_weight,required_weight,selected_parties,accepted_weight,sample,phase,milliseconds,avx_msm,avx_each
bn254,off,swapped,16,2,16,cold,12,688,6489,4327,79,4333,0,encryption,0.762849,0,0
bn254,off,swapped,16,2,16,cold,12,688,6489,4327,79,4333,0,validation,0.938449,0,0
bn254,off,swapped,16,2,16,cold,12,688,6489,4327,79,4333,0,share_generation,3.615479,0,0
bn254,off,swapped,16,2,16,cold,12,688,6489,4327,79,4333,0,acceptance,10.247534,0,0
bn254,off,swapped,16,2,16,cold,12,688,6489,4327,79,4333,0,preparation,44.354971,0,0
bn254,off,swapped,16,2,16,cold,12,688,6489,4327,79,4333,0,precompute,1.109244,0,0
bn254,off,swapped,16,2,16,cold,12,688,6489,4327,79,4333,0,opening,12.539153,0,0
bn254,off,swapped,16,2,16,cold,12,688,6489,4327,79,4333,0,combiner,68.251073,0,0
bn254,off,swapped,16,2,16,cold,12,688,6489,4327,79,4333,0,decryption_total,71.866633,0,0
bn254,off,swapped,16,2,16,cold,12,688,6489,4327,79,4333,0,end_to_end,73.568031,0,0
bn254,off,swapped,16,2,16,cold,12,688,6489,4327,79,4333,1,encryption,0.752294,0,0
bn254,off,swapped,16,2,16,cold,12,688,6489,4327,79,4333,1,validation,0.899817,0,0
bn254,off,swapped,16,2,16,cold,12,688,6489,4327,79,4333,1,share_generation,3.615609,0,0
bn254,off,swapped,16,2,16,cold,12,688,6489,4327,79,4333,1,acceptance,10.242216,0,0
bn254,off,swapped,16,2,16,cold,12,688,6489,4327,79,4333,1,preparation,44.232983,0,0
bn254,off,swapped,16,2,16,cold,12,688,6489,4327,79,4333,1,precompute,0.995037,0,0
bn254,off,swapped,16,2,16,cold,12,688,6489,4327,79,4333,1,opening,12.526666,0,0
bn254,off,swapped,16,2,16,cold,12,688,6489,4327,79,4333,1,combiner,67.997064,0,0
bn254,off,swapped,16,2,16,cold,12,688,6489,4327,79,4333,1,decryption_total,71.612754,0,0
bn254,off,swapped,16,2,16,cold,12,688,6489,4327,79,4333,1,end_to_end,73.265125,0,0
bn254,off,swapped,16,2,16,cold,12,688,6489,4327,79,4333,2,encryption,0.742902,0,0
bn254,off,swapped,16,2,16,cold,12,688,6489,4327,79,4333,2,validation,0.914236,0,0
bn254,off,swapped,16,2,16,cold,12,688,6489,4327,79,4333,2,share_generation,3.603623,0,0
bn254,off,swapped,16,2,16,cold,12,688,6489,4327,79,4333,2,acceptance,10.218404,0,0
bn254,off,swapped,16,2,16,cold,12,688,6489,4327,79,4333,2,preparation,44.293977,0,0
bn254,off,swapped,16,2,16,cold,12,688,6489,4327,79,4333,2,precompute,1.101665,0,0
bn254,off,swapped,16,2,16,cold,12,688,6489,4327,79,4333,2,opening,12.516392,0,0
bn254,off,swapped,16,2,16,cold,12,688,6489,4327,79,4333,2,combiner,68.130608,0,0
bn254,off,swapped,16,2,16,cold,12,688,6489,4327,79,4333,2,decryption_total,71.734311,0,0
bn254,off,swapped,16,2,16,cold,12,688,6489,4327,79,4333,2,end_to_end,73.391599,0,0
bn254,off,swapped,16,2,16,cold,12,688,6489,4327,79,4333,3,encryption,0.746085,0,0
bn254,off,swapped,16,2,16,cold,12,688,6489,4327,79,4333,3,validation,0.923930,0,0
bn254,off,swapped,16,2,16,cold,12,688,6489,4327,79,4333,3,share_generation,3.589573,0,0
bn254,off,swapped,16,2,16,cold,12,688,6489,4327,79,4333,3,acceptance,10.162627,0,0
bn254,off,swapped,16,2,16,cold,12,688,6489,4327,79,4333,3,preparation,44.290703,0,0
bn254,off,swapped,16,2,16,cold,12,688,6489,4327,79,4333,3,precompute,1.276825,0,0
bn254,off,swapped,16,2,16,cold,12,688,6489,4327,79,4333,3,opening,12.526326,0,0
bn254,off,swapped,16,2,16,cold,12,688,6489,4327,79,4333,3,combiner,68.256641,0,0
bn254,off,swapped,16,2,16,cold,12,688,6489,4327,79,4333,3,decryption_total,71.846255,0,0
bn254,off,swapped,16,2,16,cold,12,688,6489,4327,79,4333,3,end_to_end,73.516440,0,0
bn254,off,swapped,16,2,16,cold,12,688,6489,4327,79,4333,4,encryption,0.772041,0,0
bn254,off,swapped,16,2,16,cold,12,688,6489,4327,79,4333,4,validation,0.902590,0,0
bn254,off,swapped,16,2,16,cold,12,688,6489,4327,79,4333,4,share_generation,3.605486,0,0
bn254,off,swapped,16,2,16,cold,12,688,6489,4327,79,4333,4,acceptance,10.210473,0,0
bn254,off,swapped,16,2,16,cold,12,688,6489,4327,79,4333,4,preparation,44.311351,0,0
bn254,off,swapped,16,2,16,cold,12,688,6489,4327,79,4333,4,precompute,1.116785,0,0
bn254,off,swapped,16,2,16,cold,12,688,6489,4327,79,4333,4,opening,12.457882,0,0
bn254,off,swapped,16,2,16,cold,12,688,6489,4327,79,4333,4,combiner,68.096661,0,0
bn254,off,swapped,16,2,16,cold,12,688,6489,4327,79,4333,4,decryption_total,71.702227,0,0
bn254,off,swapped,16,2,16,cold,12,688,6489,4327,79,4333,4,end_to_end,73.376998,0,0
bn254,off,swapped,16,2,16,cold,12,688,6489,4327,79,4333,5,encryption,0.735862,0,0
bn254,off,swapped,16,2,16,cold,12,688,6489,4327,79,4333,5,validation,0.892426,0,0
bn254,off,swapped,16,2,16,cold,12,688,6489,4327,79,4333,5,share_generation,3.601971,0,0
bn254,off,swapped,16,2,16,cold,12,688,6489,4327,79,4333,5,acceptance,10.253833,0,0
bn254,off,swapped,16,2,16,cold,12,688,6489,4327,79,4333,5,preparation,44.375429,0,0
bn254,off,swapped,16,2,16,cold,12,688,6489,4327,79,4333,5,precompute,1.026371,0,0
bn254,off,swapped,16,2,16,cold,12,688,6489,4327,79,4333,5,opening,12.515251,0,0
bn254,off,swapped,16,2,16,cold,12,688,6489,4327,79,4333,5,combiner,68.171014,0,0
bn254,off,swapped,16,2,16,cold,12,688,6489,4327,79,4333,5,decryption_total,71.773075,0,0
bn254,off,swapped,16,2,16,cold,12,688,6489,4327,79,4333,5,end_to_end,73.401513,0,0
bn254,off,swapped,16,2,16,cold,12,688,6489,4327,79,4333,6,encryption,0.748408,0,0
bn254,off,swapped,16,2,16,cold,12,688,6489,4327,79,4333,6,validation,0.908338,0,0
bn254,off,swapped,16,2,16,cold,12,688,6489,4327,79,4333,6,share_generation,3.589764,0,0
bn254,off,swapped,16,2,16,cold,12,688,6489,4327,79,4333,6,acceptance,10.199738,0,0
bn254,off,swapped,16,2,16,cold,12,688,6489,4327,79,4333,6,preparation,44.449761,0,0
bn254,off,swapped,16,2,16,cold,12,688,6489,4327,79,4333,6,precompute,1.256467,0,0
bn254,off,swapped,16,2,16,cold,12,688,6489,4327,79,4333,6,opening,12.484308,0,0
bn254,off,swapped,16,2,16,cold,12,688,6489,4327,79,4333,6,combiner,68.390455,0,0
bn254,off,swapped,16,2,16,cold,12,688,6489,4327,79,4333,6,decryption_total,71.980299,0,0
bn254,off,swapped,16,2,16,cold,12,688,6489,4327,79,4333,6,end_to_end,73.637196,0,0
bn254,off,swapped,16,2,16,cold,12,688,6489,4327,79,4333,7,encryption,0.743211,0,0
bn254,off,swapped,16,2,16,cold,12,688,6489,4327,79,4333,7,validation,0.905615,0,0
