config,error,total,cipher_group_bytes,public_group_bytes,core_key_KiB,verification_key_KiB,minimal_chunk_key_KiB,validator_response_bytes,total_key_KiB
bls_avx_swapped_split2,1/16,16,96,48,2295.9375,314.25,261.46875,768,2610.1875
bls_avx_swapped_split2,1/16,32,96,48,4665.9375,628.5,261.46875,1536,5294.4375
bls_avx_swapped_split2,1/16,64,96,48,9405.9375,1257.0,261.46875,3072,10662.9375
bls_avx_swapped_split2,1/16,128,96,48,18885.9375,2514.0,261.46875,6144,21399.9375
bls_avx_swapped_split2,1/16,256,96,48,37845.9375,5028.0,261.46875,12288,42873.9375
bls_avx_swapped_split2,1/32,16,96,48,4450.921875,448.5,486.796875,768,4899.421875
bls_avx_swapped_split2,1/64,16,96,48,9429.328125,516.0,977.015625,768,9945.328125
bls_avx_swapped_split2,1/8,16,96,48,1110.1875,175.5,129.375,768,1285.6875
blst_original,1/16,16,48,96,4591.875,628.5,5220.375,48,5220.375
blst_original,1/16,32,48,96,9331.875,1257.0,10588.875,48,10588.875
blst_original,1/16,64,48,96,18811.875,2514.0,21325.875,48,21325.875
blst_original,1/16,128,48,96,37771.875,5028.0,42799.875,48,42799.875
blst_original,1/16,256,48,96,75691.875,10056.0,85747.875,48,85747.875
blst_original,1/32,16,48,96,8901.84375,897.0,9798.84375,48,9798.84375
blst_original,1/64,16,48,96,18858.65625,1032.0,19890.65625,48,19890.65625
blst_original,1/8,16,48,96,2220.375,351.0,2571.375,48,2571.375
blst_swapped,1/16,16,96,48,2295.9375,314.25,2610.1875,96,2610.1875
blst_swapped,1/16,32,96,48,4665.9375,628.5,5294.4375,96,5294.4375
blst_swapped,1/16,64,96,48,9405.9375,1257.0,10662.9375,96,10662.9375
blst_swapped,1/16,128,96,48,18885.9375,2514.0,21399.9375,96,21399.9375
blst_swapped,1/16,256,96,48,37845.9375,5028.0,42873.9375,96,42873.9375
blst_swapped,1/32,16,96,48,4450.921875,448.5,4899.421875,96,4899.421875
blst_swapped,1/64,16,96,48,9429.328125,516.0,9945.328125,96,9945.328125
blst_swapped,1/8,16,96,48,1110.1875,175.5,1285.6875,96,1285.6875
bn_original_split2,1/16,16,32,64,3061.25,419.0,348.625,256,3480.25
bn_original_split2,1/16,32,32,64,6221.25,838.0,348.625,512,7059.25
bn_original_split2,1/16,64,32,64,12541.25,1676.0,348.625,1024,14217.25
bn_original_split2,1/16,128,32,64,25181.25,3352.0,348.625,2048,28533.25
bn_original_split2,1/16,256,32,64,50461.25,6704.0,348.625,4096,57165.25
bn_original_split2,1/32,16,32,64,5934.5625,598.0,649.0625,256,6532.5625
bn_original_split2,1/64,16,32,64,12572.4375,688.0,1302.6875,256,13260.4375
bn_original_split2,1/8,16,32,64,1480.25,234.0,172.5,256,1714.25
bn_swapped_split2,1/16,16,64,32,1530.625,209.5,174.3125,512,1740.125
bn_swapped_split2,1/16,32,64,32,3110.625,419.0,174.3125,1024,3529.625
bn_swapped_split2,1/16,64,64,32,6270.625,838.0,174.3125,2048,7108.625
bn_swapped_split2,1/16,128,64,32,12590.625,1676.0,174.3125,4096,14266.625
bn_swapped_split2,1/16,256,64,32,25230.625,3352.0,174.3125,8192,28582.625
bn_swapped_split2,1/32,16,64,32,2967.28125,299.0,324.53125,512,3266.28125
bn_swapped_split2,1/64,16,64,32,6286.21875,344.0,651.34375,512,6630.21875
bn_swapped_split2,1/8,16,64,32,740.125,117.0,86.25,512,857.125
