config,error,total,batch,cache,round,sample,phase,ms
blst_original,1/8,16,16,cached,1,0,encryption,1.101333
blst_original,1/8,16,16,cached,1,0,validation,0.33640299999999995
blst_original,1/8,16,16,cached,1,0,share_generation,2.2209920000000003
blst_original,1/8,16,16,cached,1,0,acceptance,9.706901
blst_original,1/8,16,16,cached,1,0,preparation,0.0
blst_original,1/8,16,16,cached,1,0,precompute,8.493333
blst_original,1/8,16,16,cached,1,0,opening,13.999301
blst_original,1/8,16,16,cached,1,0,combiner,32.199605
blst_original,1/8,16,16,cached,1,0,decryption_total,34.420697999999994
blst_original,1/8,16,16,cached,1,0,end_to_end,35.858494
blst_original,1/8,16,16,cached,1,0,dec_open,22.492634000000002
blst_original,1/8,16,16,cached,1,0,encryption_per_item,0.0688333125
blst_original,1/8,16,16,cached,1,0,predec_per_validator,0.03764393220338984
blst_original,1/8,16,16,cached,1,0,validate_per_validator,0.16452374576271186
blst_original,1/8,16,16,cached,1,1,encryption,1.103236
blst_original,1/8,16,16,cached,1,1,validation,0.33939600000000003
blst_original,1/8,16,16,cached,1,1,share_generation,2.682016
blst_original,1/8,16,16,cached,1,1,acceptance,9.731735
blst_original,1/8,16,16,cached,1,1,preparation,0.0
blst_original,1/8,16,16,cached,1,1,precompute,8.553947
blst_original,1/8,16,16,cached,1,1,opening,14.048858
blst_original,1/8,16,16,cached,1,1,combiner,32.3346
blst_original,1/8,16,16,cached,1,1,decryption_total,35.016707000000004
blst_original,1/8,16,16,cached,1,1,end_to_end,36.459409
blst_original,1/8,16,16,cached,1,1,dec_open,22.602805
blst_original,1/8,16,16,cached,1,1,encryption_per_item,0.06895225
blst_original,1/8,16,16,cached,1,1,predec_per_validator,0.045457898305084746
blst_original,1/8,16,16,cached,1,1,validate_per_validator,0.16494466101694916
blst_original,1/8,16,16,cached,1,2,encryption,1.0703710000000002
blst_original,1/8,16,16,cached,1,2,validation,0.335551
blst_original,1/8,16,16,cached,1,2,share_generation,2.238467
blst_original,1/8,16,16,cached,1,2,acceptance,9.756069
blst_original,1/8,16,16,cached,1,2,preparation,0.0
blst_original,1/8,16,16,cached,1,2,precompute,8.561857
blst_original,1/8,16,16,cached,1,2,opening,14.053746
blst_original,1/8,16,16,cached,1,2,combiner,32.371732
blst_original,1/8,16,16,cached,1,2,decryption_total,34.610249
blst_original,1/8,16,16,cached,1,2,end_to_end,36.016290999999995
blst_original,1/8,16,16,cached,1,2,dec_open,22.615603
blst_original,1/8,16,16,cached,1,2,encryption_per_item,0.06689818750000001
blst_original,1/8,16,16,cached,1,2,predec_per_validator,0.037940118644067794
blst_original,1/8,16,16,cached,1,2,validate_per_validator,0.16535710169491524
blst_original,1/8,16,16,cached,1,3,encryption,1.106922
blst_original,1/8,16,16,cached,1,3,validation,0.344043
blst_original,1/8,16,16,cached,1,3,share_generation,2.69221
blst_original,1/8,16,16,cached,1,3,acceptance,9.752343999999999
blst_original,1/8,16,16,cached,1,3,preparation,0.0
blst_original,1/8,16,16,cached,1,3,precompute,8.570038
blst_original,1/8,16,16,cached,1,3,opening,14.040848
blst_original,1/8,16,16,cached,1,3,combiner,32.363290000000006
blst_original,1/8,16,16,cached,1,3,decryption_total,35.05555
blst_original,1/8,16,16,cached,1,3,end_to_end,36.506595000000004
blst_original,1/8,16,16,cached,1,3,dec_open,22.610886
blst_original,1/8,16,16,cached,1,3,encryption_per_item,0.069182625
blst_original,1/8,16,16,cached,1,3,predec_per_validator,0.0456306779661017
blst_original,1/8,16,16,cached,1,3,validate_per_validator,0.1652939661016949
blst_original,1/8,16,16,cached,1,4,encryption,1.083079
blst_original,1/8,16,16,cached,1,4,validation,0.329102
blst_original,1/8,16,16,cached,1,4,share_generation,2.685211
blst_original,1/8,16,16,cached,1,4,acceptance,9.738624
blst_original,1/8,16,16,cached,1,4,preparation,0.0
blst_original,1/8,16,16,cached,1,4,precompute,8.544374
blst_original,1/8,16,16,cached,1,4,opening,14.03531
blst_original,1/8,16,16,cached,1,4,combiner,32.318378
blst_original,1/8,16,16,cached,1,4,decryption_total,35.003629000000004
blst_original,1/8,16,16,cached,1,4,end_to_end,36.415870000000005
blst_original,1/8,16,16,cached,1,4,dec_open,22.579684
blst_original,1/8,16,16,cached,1,4,encryption_per_item,0.0676924375
blst_original,1/8,16,16,cached,1,4,predec_per_validator,0.04551205084745762
blst_original,1/8,16,16,cached,1,4,validate_per_validator,0.16506142372881355
blst_original,1/8,16,16,cached,1,5,encryption,1.08372
blst_original,1/8,16,16,cached,1,5,validation,0.34557499999999997
blst_original,1/8,16,16,cached,1,5,share_generation,2.6946529999999997
blst_original,1/8,16,16,cached,1,5,acceptance,9.755357
blst_original,1/8,16,16,cached,1,5,preparation,0.0
blst_original,1/8,16,16,cached,1,5,precompute,8.523946
blst_original,1/8,16,16,cached,1,5,opening,14.01367
blst_original,1/8,16,16,cached,1,5,combiner,32.293043000000004
blst_original,1/8,16,16,cached,1,5,decryption_total,34.987826999999996
blst_original,1/8,16,16,cached,1,5,end_to_end,36.417192
blst_original,1/8,16,16,cached,1,5,dec_open,22.537616
blst_original,1/8,16,16,cached,1,5,encryption_per_item,0.0677325
blst_original,1/8,16,16,cached,1,5,predec_per_validator,0.04567208474576271
blst_original,1/8,16,16,cached,1,5,validate_per_validator,0.1653450338983051
blst_original,1/8,16,16,cached,1,6,encryption,1.1096759999999999
blst_original,1/8,16,16,cached,1,6,validation,0.333598
blst_original,1/8,16,16,cached,1,6,share_generation,2.6751169999999997
blst_original,1/8,16,16,cached,1,6,acceptance,9.696967
blst_original,1/8,16,16,cached,1,6,preparation,0.0
blst_original,1/8,16,16,cached,1,6,precompute,8.544153
blst_original,1/8,16,16,cached,1,6,opening,14.016193999999999
blst_original,1/8,16,16,cached,1,6,combiner,32.257384
blst_original,1/8,16,16,cached,1,6,decryption_total,34.932541
blst_original,1/8,16,16,cached,1,6,end_to_end,36.375875
blst_original,1/8,16,16,cached,1,6,dec_open,22.560347
blst_original,1/8,16,16,cached,1,6,encryption_per_item,0.06935474999999999
blst_original,1/8,16,16,cached,1,6,predec_per_validator,0.04534096610169491
blst_original,1/8,16,16,cached,1,6,validate_per_validator,0.16435537288135593
blst_original,1/8,16,16,cached,1,7,encryption,1.085742
blst_original,1/8,16,16,cached,1,7,validation,0.336632
blst_original,1/8,16,16,cached,1,7,share_generation,2.234221
blst_original,1/8,16,16,cached,1,7,acceptance,9.683639999999999
blst_original,1/8,16,16,cached,1,7,preparation,0.0
blst_original,1/8,16,16,cached,1,7,precompute,8.549539999999999
blst_original,1/8,16,16,cached,1,7,opening,14.032577
blst_original,1/8,16,16,cached,1,7,combiner,32.265876999999996
blst_original,1/8,16,16,cached,1,7,decryption_total,34.500338
blst_original,1/8,16,16,cached,1,7,end_to_end,35.922783
blst_original,1/8,16,16,cached,1,7,dec_open,22.582116999999997
blst_original,1/8,16,16,cached,1,7,encryption_per_item,0.067858875
blst_original,1/8,16,16,cached,1,7,predec_per_validator,0.03786815254237288
blst_original,1/8,16,16,cached,1,7,validate_per_validator,0.1641294915254237
blst_original,1/8,16,16,cached,1,8,encryption,1.080065
blst_original,1/8,16,16,cached,1,8,validation,0.338115
blst_original,1/8,16,16,cached,1,8,share_generation,2.228933
blst_original,1/8,16,16,cached,1,8,acceptance,9.734209
blst_original,1/8,16,16,cached,1,8,preparation,0.0
blst_original,1/8,16,16,cached,1,8,precompute,8.558212000000001
blst_original,1/8,16,16,cached,1,8,opening,14.012589
blst_original,1/8,16,16,cached,1,8,combiner,32.30511
blst_original,1/8,16,16,cached,1,8,decryption_total,34.534102999999995
blst_original,1/8,16,16,cached,1,8,end_to_end,35.952392999999994
blst_original,1/8,16,16,cached,1,8,dec_open,22.570801000000003
blst_original,1/8,16,16,cached,1,8,encryption_per_item,0.0675040625
blst_original,1/8,16,16,cached,1,8,predec_per_validator,0.037778525423728816
blst_original,1/8,16,16,cached,1,8,validate_per_validator,0.16498659322033898
blst_original,1/8,16,16,cached,1,9,encryption,1.089378
blst_original,1/8,16,16,cached,1,9,validation,0.34284099999999995
blst_original,1/8,16,16,cached,1,9,share_generation,2.2326080000000004
blst_original,1/8,16,16,cached,1,9,acceptance,9.714801999999999
blst_original,1/8,16,16,cached,1,9,preparation,0.0
blst_original,1/8,16,16,cached,1,9,precompute,8.543382
blst_original,1/8,16,16,cached,1,9,opening,14.044093
blst_original,1/8,16,16,cached,1,9,combiner,32.30235699999999
blst_original,1/8,16,16,cached,1,9,decryption_total,34.535015
blst_original,1/8,16,16,cached,1,9,end_to_end,35.967304
blst_original,1/8,16,16,cached,1,9,dec_open,22.587474999999998
blst_original,1/8,16,16,cached,1,9,encryption_per_item,0.068086125
blst_original,1/8,16,16,cached,1,9,predec_per_validator,0.03784081355932204
blst_original,1/8,16,16,cached,1,9,validate_per_validator,0.16465766101694912
blst_original,1/8,16,16,cached,1,10,encryption,1.088957
blst_original,1/8,16,16,cached,1,10,validation,0.34962
blst_original,1/8,16,16,cached,1,10,share_generation,2.2355119999999995
blst_original,1/8,16,16,cached,1,10,acceptance,9.695396
blst_original,1/8,16,16,cached,1,10,preparation,0.0
blst_original,1/8,16,16,cached,1,10,precompute,8.551912999999999
blst_original,1/8,16,16,cached,1,10,opening,14.051393000000001
blst_original,1/8,16,16,cached,1,10,combiner,32.298821999999994
blst_original,1/8,16,16,cached,1,10,decryption_total,34.534504
blst_original,1/8,16,16,cached,1,10,end_to_end,35.973282
blst_original,1/8,16,16,cached,1,10,dec_open,22.603306
blst_original,1/8,16,16,cached,1,10,encryption_per_item,0.0680598125
blst_original,1/8,16,16,cached,1,10,predec_per_validator,0.03789003389830508
blst_original,1/8,16,16,cached,1,10,validate_per_validator,0.16432874576271186
blst_original,1/8,16,16,cached,1,11,encryption,1.0855420000000002
blst_original,1/8,16,16,cached,1,11,validation,0.345384
blst_original,1/8,16,16,cached,1,11,share_generation,2.2382359999999997
blst_original,1/8,16,16,cached,1,11,acceptance,9.746135
blst_original,1/8,16,16,cached,1,11,preparation,0.0
blst_original,1/8,16,16,cached,1,11,precompute,8.567295
blst_original,1/8,16,16,cached,1,11,opening,14.528647999999999
blst_original,1/8,16,16,cached,1,11,combiner,32.842198
blst_original,1/8,16,16,cached,1,11,decryption_total,35.080485
blst_original,1/8,16,16,cached,1,11,end_to_end,36.511501
blst_original,1/8,16,16,cached,1,11,dec_open,23.095943
blst_original,1/8,16,16,cached,1,11,encryption_per_item,0.06784637500000001
blst_original,1/8,16,16,cached,1,11,predec_per_validator,0.0379362033898305
blst_original,1/8,16,16,cached,1,11,validate_per_validator,0.16518872881355934
blst_original,1/8,16,16,cached,1,12,encryption,1.102535
blst_original,1/8,16,16,cached,1,12,validation,0.35501800000000006
blst_original,1/8,16,16,cached,1,12,share_generation,2.6747059999999996
blst_original,1/8,16,16,cached,1,12,acceptance,9.690308
blst_original,1/8,16,16,cached,1,12,preparation,0.0
blst_original,1/8,16,16,cached,1,12,precompute,8.547267000000002
blst_original,1/8,16,16,cached,1,12,opening,14.039716
blst_original,1/8,16,16,cached,1,12,combiner,32.277362
blst_original,1/8,16,16,cached,1,12,decryption_total,34.95211799999999
blst_original,1/8,16,16,cached,1,12,end_to_end,36.40987100000001
blst_original,1/8,16,16,cached,1,12,dec_open,22.586983000000004
blst_original,1/8,16,16,cached,1,12,encryption_per_item,0.0689084375
blst_original,1/8,16,16,cached,1,12,predec_per_validator,0.04533399999999999
blst_original,1/8,16,16,cached,1,12,validate_per_validator,0.16424250847457628
blst_original,1/8,16,16,cached,1,13,encryption,1.1578920000000001
blst_original,1/8,16,16,cached,1,13,validation,0.34179000000000004
blst_original,1/8,16,16,cached,1,13,share_generation,2.6698090000000003
blst_original,1/8,16,16,cached,1,13,acceptance,9.728591
blst_original,1/8,16,16,cached,1,13,preparation,0.0
blst_original,1/8,16,16,cached,1,13,precompute,8.553085999999999
blst_original,1/8,16,16,cached,1,13,opening,14.024955
blst_original,1/8,16,16,cached,1,13,combiner,32.306692
